datetime,logger_id,name,latitude,longitude,pegel,wtemp,o,do,elL,hkBat,hkTemp,hkHum
2025-03-31 00:00:00,900193,Teich im Bockholt,51.50471,7.28002,108.486,10.2,100.82,11.361,565,3.685,11.43,8.1
2025-03-31 00:00:00,900355,Am Stadtpark,51.49212,7.22238,87.366,7.953,74.177,8.749,0,3.728,12.39,6.3
2025-03-31 00:00:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.304,10.125,13.742,1.527,1118,3.67,11.86,6.7
2025-03-31 00:00:00,900368,Wiesental,51.46335,7.21048,84.409,7.819,,,,3.726,12.07,54.5
2025-03-31 00:00:00,900371,Huelsbergstr,51.43301,7.2142,110.186,7.484,,,,3.628,11.2,48.3
2025-03-31 00:00:00,900373,Jasminweg,51.45729,7.14757,94.579,10.038,54.493,6.112,463,3.711,12.17,51.6
2025-03-31 00:00:00,900374,Rottmansteich,51.50016,7.24634,105.081,8.988,121.14,13.718,1174,3.727,11.39,9.6
2025-03-31 00:00:00,900390,Tipulusteich,51.50074,7.21965,73.622,10.269,111.11,12.298,853,3.661,11.98,38.3
2025-03-31 00:00:00,900398,Brueggeneystr,51.41776,7.23148,83.246,9.119,133.48,15.38,,3.61,11.94,48.2
2025-03-31 00:00:00,900411,Bluecherstr,51.4954,7.15879,45.902,10.45,,,,3.641,11.86,57.5
2025-03-31 00:00:00,900413,Stembergteich,51.51349,7.22748,78.589,9.578,66.859,7.542,,3.692,12.32,58.2
2025-03-31 00:00:00,900541,Uemminger See,51.46932,7.29004,1.458,13.3,0,0,2496,3.643,12.41,44.5
2025-03-31 00:00:01,900356,Jahrhunderthalle,51.48298,7.19877,80.401,10.397,2.087,0.229,,3.615,12.43,50.9
2025-03-31 00:00:01,900415,Kuehlteich,51.48196,7.19709,75.778,8.716,106.34,12.257,,3.705,12.04,48.5
2025-03-31 00:15:00,900355,Am Stadtpark,51.49212,7.22238,87.367,7.909,74.424,8.783,0,3.712,12.38,6.3
2025-03-31 00:15:00,900356,Jahrhunderthalle,51.48298,7.19877,80.4,10.35,2.123,0.233,,3.599,12.39,50.9
2025-03-31 00:15:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.305,10.122,9.453,1.051,1120,3.657,11.85,6.6
2025-03-31 00:15:00,900368,Wiesental,51.46335,7.21048,84.409,7.834,,,,3.714,12.01,54.5
2025-03-31 00:15:00,900390,Tipulusteich,51.50074,7.21965,73.621,10.266,112.18,12.425,859,3.648,11.99,38.2
2025-03-31 00:15:00,900413,Stembergteich,51.51349,7.22748,78.589,9.563,66.541,7.508,,3.669,12.3,58.2
2025-03-31 00:15:00,900415,Kuehlteich,51.48196,7.19709,75.777,8.703,105.35,12.147,,3.688,12.01,48.5
2025-03-31 00:15:01,900193,Teich im Bockholt,51.50471,7.28002,108.486,10.2,105.35,11.887,573,3.667,11.44,8.1
2025-03-31 00:15:01,900371,Huelsbergstr,51.43301,7.2142,110.186,7.491,,,,3.616,11.19,48.2
2025-03-31 00:15:01,900373,Jasminweg,51.45729,7.14757,94.578,9.934,54.43,6.107,457,3.692,12.13,51.6
2025-03-31 00:15:01,900374,Rottmansteich,51.50016,7.24634,105.081,9.016,121.5,13.762,1157,3.71,11.39,9.6
2025-03-31 00:15:01,900398,Brueggeneystr,51.41776,7.23148,83.247,9.078,126.2,14.547,,3.598,11.93,48.1
2025-03-31 00:15:01,900411,Bluecherstr,51.4954,7.15879,45.902,10.45,,,,3.629,11.85,57.4
2025-03-31 00:15:01,900541,Uemminger See,51.46932,7.29004,1.46,13.3,0.085,0.009,2484,3.628,12.43,44.5
2025-03-31 00:30:00,900355,Am Stadtpark,51.49212,7.22238,87.367,7.897,74.158,8.756,0,,,
2025-03-31 00:30:00,900356,Jahrhunderthalle,51.48298,7.19877,80.402,10.313,2.091,0.229,,,,
2025-03-31 00:30:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.305,10.141,17.24,1.917,1127,,,
2025-03-31 00:30:00,900368,Wiesental,51.46335,7.21048,84.411,7.794,,,,,,
2025-03-31 00:30:00,900390,Tipulusteich,51.50074,7.21965,73.623,10.259,112.51,12.466,859,,,
2025-03-31 00:30:00,900413,Stembergteich,51.51349,7.22748,78.588,9.531,66.132,7.466,,,,
2025-03-31 00:30:00,900415,Kuehlteich,51.48196,7.19709,75.777,8.716,105.27,12.14,,,,
2025-03-31 00:30:01,900193,Teich im Bockholt,51.50471,7.28002,108.486,10.2,107.26,12.108,561,,,
2025-03-31 00:30:01,900371,Huelsbergstr,51.43301,7.2142,110.186,7.534,,,,,,
2025-03-31 00:30:01,900373,Jasminweg,51.45729,7.14757,94.579,9.981,54.327,6.1,466,,,
2025-03-31 00:30:01,900374,Rottmansteich,51.50016,7.24634,105.081,8.994,122.07,13.83,1184,,,
2025-03-31 00:30:01,900398,Brueggeneystr,51.41776,7.23148,83.247,9.134,131.79,15.201,,,,
2025-03-31 00:30:01,900411,Bluecherstr,51.4954,7.15879,45.902,10.4,,,,,,
2025-03-31 00:30:01,900541,Uemminger See,51.46932,7.29004,1.461,13.2,0,0,2494,,,
2025-03-31 00:45:00,900355,Am Stadtpark,51.49212,7.22238,87.367,7.813,74.253,8.792,0,,,
2025-03-31 00:45:00,900356,Jahrhunderthalle,51.48298,7.19877,80.403,10.278,2.126,0.233,,,,
2025-03-31 00:45:00,900358,Hiltrop Volkspark,51.52259,7.26221,95.305,10.075,8.445,0.94,1124,,,
2025-03-31 00:45:00,900368,Wiesental,51.46335,7.21048,84.41,7.828,,,,,,
2025-03-31 00:45:00,900390,Tipulusteich,51.50074,7.21965,73.624,10.228,107.69,11.942,850,,,
2025-03-31 00:45:00,900413,Stembergteich,51.51349,7.22748,78.588,9.516,66.075,7.463,,,,
2025-03-31 00:45:00,900415,Kuehlteich,51.48196,7.19709,75.778,8.694,104.09,12.006,,,,
