OBJECTID,Rechtswert,Hochwert,Kategorie,Adresse,Bezeichnun,Bezirk,Anzahl,Art,Stammdurch,Stammumfan,Anlass,Zeitpunkt,Bemerkunge
1,377291,5704569,Pflanzung,Akademiestra?e,Straeenbsume,Mitte,6,Feld-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
2,376656,5705699,Pflanzung,Am alten Stadtpark,Stralenb ume,Mitte,14,Rot-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
3,374979,5706161,Pflanzung,Am Friedensgrund,Strarenbeume,Mitte,7,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
4,376113,5708147,Pflanzung,Am Hausacker,Straaenbcume,Mitte,18,Ulmen, , ,StadtBaumKonzept,bis April 2019, 
5,374710,5705976,Pflanzung,Amtsstrage,Strasenbgume,Mitte,4,Nelken-Kirsche, , ,StadtBaumKonzept,bis April 2019, 
6,377109,5705071,Pflanzung,Blumenstrale,Straeenbrume,Mitte,5,Vogel-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
7,376952,5703929,Pflanzung,Brunsteinstra,Strasenbnume,Mitte,5,Feld-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
8,378616,5705479,Pflanzung,Buselohstrane,Stralenbtume,Mitte,10,Rot-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
9,376077,5707204,Pflanzung,Falkstrage,Strasenbgume,Mitte,11,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
10,378894,5703902,Pflanzung,Eichendorfweg,Straeenbrume,Mitte,4,Nelken-Kirschen, , ,StadtBaumKonzept,bis April 2019, 
11,374613,5705718,Pflanzung,Gahlensche Strate,Straeenbhume,Mitte,2,Sumpf-Eichen, , ,StadtBaumKonzept,bis April 2019, 
12,374669,5705498,Pflanzung,Gahlensche Strate,Straeenbhume,Mitte,7,Spitz-Ahorn, , ,StadtBaumKonzept,bis April 2019, 
