time;resistance;temperature;resis_temp_comp;moisture_content
14.6.23 8:45;5.944;22.3;7.099700831;100
14.6.23 9:00;5.916;22.5;7.182541839;100
14.6.23 9:15;5.929;22.9;7.446860333;100
14.6.23 9:30;5.947;22.8;7.40637708;100
14.6.23 9:45;5.934;23;7.51828833;100
14.6.23 10:00;6.005;22.4;7.233906898;100
14.6.23 10:15;5.988;22.5;7.272776487;100
14.6.23 10:30;5.98;22.8;7.448929657;100
14.6.23 10:45;5.998;22.8;7.472146611;100
14.6.23 11:00;6.007;22.9;7.548417696;100
14.6.23 11:15;5.982;23.2;7.716126796;100
14.6.23 11:30;5.965;23.8;8.128048961;100
14.6.23 11:45;5.957;24.2;8.43565108;100
14.6.23 12:00;5.903;25;9.070501545;100
14.6.23 12:15;5.865;26.2;9.00908951;100
14.6.23 12:30;5.837;27;8.963818809;100
14.6.23 12:45;5.783;28.4;8.876493747;100
14.6.23 13:00;5.748;29.5;8.820003777;100
14.6.23 13:15;5.715;29.4;8.766308177;100
14.6.23 13:30;5.666;29.5;8.686739905;100
14.6.23 13:45;5.719;28.3;8.772369989;100
14.6.23 14:00;5.705;28.4;8.749658573;100
14.6.23 14:15;5.71;28.9;8.757982476;100
14.6.23 14:30;5.684;28.7;8.715660708;100
14.6.23 14:45;5.664;28.7;8.683181015;100
14.6.23 15:01;5.615;29.4;8.603923625;100
14.6.23 15:15;5.569;28.8;8.529108771;100
14.6.23 15:30;5.539;27.9;8.480172158;100
14.6.23 15:45;5.545;28.2;8.490000298;100
14.6.23 16:00;5.429;30.5;8.30309224;100
14.6.23 16:15;5.399;30.8;8.254706119;100
14.6.23 16:30;5.374;30.4;8.214186205;100
14.6.23 16:45;5.294;30.3;8.085054444;100
14.6.23 17:00;5.255;32.4;8.022848383;100
14.6.23 17:15;5.245;32;8.006609113;100
14.6.23 17:30;5.365;30.3;8.199619304;100
14.6.23 17:45;5.43;28.2;8.303917555;100
14.6.23 18:00;5.486;27.2;8.394126149;100
14.6.23 18:15;5.484;28.4;8.391315358;100
14.6.23 18:30;5.618;26.9;8.607841116;100
14.6.23 18:45;5.867;23.3;7.629729697;100
14.6.23 19:00;5.959;22.3;7.118155304;100
14.6.23 19:15;6.02;21.8;6.911459695;100
14.6.23 19:30;6.074;21.4;6.763799298;100
14.6.23 19:45;6.118;20.9;6.566206247;100
14.6.23 20:00;6.171;20.5;6.437520152;100
14.6.23 20:15;6.222;19.9;6.229343425;100
14.6.23 20:30;6.272;19.5;6.115788696;100
14.6.23 20:45;6.333;19.2;6.057074838;100
14.6.23 21:00;6.378;18.9;5.985570194;100
14.6.23 21:15;6.423;18.5;5.880718393;100
14.6.23 21:30;6.473;18.3;5.854901243;100
14.6.23 21:45;6.519;17.9;5.757746067;100
14.6.23 22:00;6.561;17.5;5.661663194;100
14.6.23 22:15;6.602;17.4;5.664033587;100
14.6.23 22:30;6.65;17;5.577475862;100
14.6.23 22:45;6.69;16.8;5.548519647;100
14.6.23 23:00;6.739;16.5;5.497316097;100
14.6.23 23:15;6.77;16.4;5.492128045;100
14.6.23 23:30;6.809;16.2;5.463856487;100
14.6.23 23:45;6.864;15.7;5.363090822;100
15.6.23 0:00;6.909;15.4;5.313652877;100
15.6.23 0:15;6.962;15.2;5.298097187;100
15.6.23 0:30;6.995;14.9;5.241598159;100
15.6.23 0:45;7.032;14.8;5.241527089;100
15.6.23 1:00;7.073;14.7;5.244177032;100
15.6.23 1:15;7.113;14.3;5.168171606;100
15.6.23 1:30;7.15;14.2;5.167951617;100
15.6.23 1:45;7.189;14;5.143580822;100
15.6.23 2:00;7.228;13.9;5.144511058;100
15.6.23 2:15;7.27;13.4;5.047946885;100
15.6.23 2:30;7.324;13.2;5.033936402;100
15.6.23 2:45;7.354;13.2;5.053123811;100
15.6.23 3:00;7.373;13.2;5.065270897;100
15.6.23 3:15;7.395;13.2;5.079331166;100
15.6.23 3:30;7.406;13.2;5.086359378;100
15.6.23 3:45;7.397;13.3;5.105320244;100
15.6.23 4:00;7.393;13.4;5.127622257;100
15.6.23 4:15;7.376;13.7;5.192153379;100
15.6.23 4:30;7.288;14.9;5.450721866;100
15.6.23 4:45;7.136;16.7;5.876343629;100
15.6.23 5:00;6.918;19.8;6.884757897;100
15.6.23 5:15;6.65;22.2;7.905638605;100
15.6.23 5:30;6.474;23.8;8.856489048;100
15.6.23 5:45;6.33;25.4;9.769644996;100
15.6.23 6:00;6.187;26.9;9.535694575;100
15.6.23 6:15;6.087;27.8;9.37233543;100
15.6.23 6:30;5.9;29;9.06736245;100
15.6.23 6:45;5.762;29.8;8.84289966;100
15.6.23 7:00;5.652;29;8.663815114;100
15.6.23 7:15;5.557;28.4;8.509514814;100
15.6.23 7:30;5.482;27.5;8.387760998;100
15.6.23 7:45;5.412;27;8.274419727;100
15.6.23 8:00;5.361;27.4;8.192199287;100
15.6.23 8:15;5.331;27.5;8.143824339;100
15.6.23 8:30;5.344;27.2;8.164699223;100
15.6.23 8:45;5.379;26.8;8.221056339;100
15.6.23 9:00;5.313;27.2;8.114695952;100
15.6.23 9:15;5.305;27.2;8.101796706;100
15.6.23 9:30;5.348;26.8;8.171021751;100
15.6.23 9:45;5.304;28;8.100441556;100
15.6.23 10:00;5.316;27.8;8.119727784;100
15.6.23 10:15;5.309;27.9;8.108471674;100
15.6.23 10:30;5.355;27.7;8.18261468;100
15.6.23 10:45;5.38;27.3;8.222838314;100
15.6.23 11:00;5.362;27.8;8.193946031;100
15.6.23 11:15;5.366;27.9;8.200436129;100
15.6.23 11:30;5.36;28;8.190784058;100
15.6.23 11:45;5.374;28;8.213384857;100
15.6.23 12:00;5.31;29.5;8.110600181;100
15.6.23 12:15;5.309;29.9;8.109116285;100
15.6.23 12:30;5.25;31.9;8.014634556;100
15.6.23 12:45;5.217;33.4;7.961935328;100
15.6.23 13:00;5.175;34.8;7.894736215;100
15.6.23 13:15;5.238;31.4;7.995145097;100
