time;resistance;temperature;resis_temp_comp;moisture_content
2.4.24 16:47;15.374;10.4;8.300831792;100
2.4.24 17:17;15.739;9.3;7.858294668;100
2.4.24 17:32;15.745;9.3;7.860641546;100
2.4.24 17:47;15.769;9.3;7.870025685;100
2.4.24 18:02;15.835;9.2;7.840795355;100
2.4.24 18:17;15.837;9.2;7.841567416;100
2.4.24 18:32;15.832;9.2;7.839637194;100
2.4.24 18:47;15.921;8.8;7.652295133;100
2.4.24 19:17;15.986;8.9;7.731954521;100
2.4.24 19:32;16.047;8.9;7.754625394;100
2.4.24 19:47;16.097;8.8;7.716975278;100
2.4.24 20:02;16.098;8.8;7.717341951;100
2.4.24 20:17;15.96;9.2;7.888977402;100
2.4.24 20:32;15.892;9.2;7.862784441;100
2.4.24 20:47;15.895;8.8;7.642715459;100
2.4.24 21:02;15.917;8.7;7.595325245;100
2.4.24 21:17;15.9;8.8;7.644558199;100
2.4.24 21:32;15.835;9;7.730746312;100
2.4.24 21:47;15.773;9;7.707318207;100
2.4.24 22:17;15.681;9.2;7.781233993;100
2.4.24 22:32;15.615;9.3;7.809716826;100
2.4.24 22:47;15.6;9.3;7.803830658;100
2.4.24 23:02;15.566;9.5;7.898238338;100
2.4.24 23:47;15.628;9;7.652384771;100
3.4.24 0:02;15.679;8.9;7.617325898;100
3.4.24 0:17;15.692;8.9;7.622197957;100
3.4.24 0:32;15.684;8.9;7.619199957;100
3.4.24 1:17;15.589;9.3;7.799512784;100
3.4.24 1:32;15.588;9.2;7.745156905;100
3.4.24 1:47;15.587;9.2;7.744768535;100
3.4.24 2:02;15.582;9.2;7.74282654;100
3.4.24 2:17;15.578;9.2;7.741272774;100
3.4.24 2:32;15.581;9.2;7.742438113;100
3.4.24 2:47;15.588;9;7.637195579;100
3.4.24 3:02;15.594;8.9;7.585430445;100
3.4.24 3:17;15.598;8.9;7.586932954;100
3.4.24 3:32;15.598;8.9;7.586932954;100
3.4.24 3:47;15.596;8.9;7.586181719;100
3.4.24 4:02;15.597;8.8;7.532460286;100
3.4.24 5:02;15.593;8.8;7.530974594;100
3.4.24 5:17;15.593;8.8;7.530974594;100
3.4.24 5:32;15.591;8.9;7.584303463;100
3.4.24 5:47;15.58;9;7.63415591;100
3.4.24 6:02;15.524;9.2;7.720282065;100
3.4.24 6:17;15.475;9.4;7.80818377;100
3.4.24 6:32;15.405;9.8;7.9932901;100
3.4.24 7:02;15.264;10.2;8.146006871;100
3.4.24 7:17;15.111;10.3;8.131898685;100
3.4.24 8:02;14.862;10.5;8.125087519;100
3.4.24 8:17;14.783;11;8.347290263;100
3.4.24 8:32;14.714;11.3;8.470263637;100
3.4.24 9:32;14.443;11.9;8.647337488;100
3.4.24 9:47;14.349;12.3;8.807920926;100
3.4.24 10:02;14.333;12.2;8.746777638;100
3.4.24 10:17;14.232;12.4;8.79769989;100
3.4.24 10:32;14.152;12.9;9.018936783;100
3.4.24 10:47;14.063;13.4;9.239155309;100
3.4.24 11:02;13.897;13.7;9.305530925;100
3.4.24 11:17;13.996;13;8.983927219;100
3.4.24 11:32;14.002;13;8.987347681;100
3.4.24 11:47;13.808;14.3;9.588392821;100
3.4.24 12:17;13.579;14.7;9.671374497;100
3.4.24 12:32;13.805;13.3;9.033462265;100
3.4.24 12:47;13.921;13;8.941147389;100
3.4.24 13:02;13.88;13.4;9.131291131;100
3.4.24 13:17;13.993;12.9;8.92913687;100
3.4.24 13:32;14.047;12.8;8.906644034;100
3.4.24 13:47;14.139;12.7;8.905025726;100
3.4.24 14:02;14.148;12.7;8.910019359;100
3.4.24 14:17;14.139;12.7;8.905025726;100
