time;resistance;temperature;resis_temp_comp;moisture_content
2.4.24 16:49;59.092;10.4;22.28159782;71
2.4.24 17:04;59.717;9.6;20.46556445;73
2.4.24 17:19;59.882;9.1;19.31272503;75
2.4.24 17:34;59.846;9.1;19.30589296;75
2.4.24 17:49;59.811;9.1;19.29924817;75
2.4.24 18:04;59.793;9.3;19.76622103;74
2.4.24 18:19;59.687;9.1;19.27568685;75
2.4.24 18:34;59.454;9;18.99920756;76
2.4.24 18:49;59.825;8.6;18.14608421;77
2.4.24 19:04;59.808;8.8;18.60195703;76
2.4.24 19:19;59.762;9.1;19.28994135;75
2.4.24 19:34;59.84;8.9;18.83887582;76
2.4.24 19:49;59.854;8.9;18.8414317;76
2.4.24 20:04;59.866;8.8;18.61234014;76
2.4.24 20:19;59.815;8.9;18.83431079;76
2.4.24 20:34;59.82;8.9;18.83522389;76
2.4.24 20:49;59.852;8.5;17.92279899;77
2.4.24 21:04;59.927;8;16.80969977;80
2.4.24 21:19;59.824;8.4;17.69129074;78
2.4.24 21:34;59.136;8.8;18.48117609;76
2.4.24 21:49;59.066;8.8;18.46854354;76
2.4.24 22:19;58.786;8.8;18.41791591;77
2.4.24 22:34;58.564;8.9;18.60428968;76
2.4.24 22:49;58.957;8.4;17.54736427;78
2.4.24 23:04;58.049;9.1;18.96150482;76
2.4.24 23:19;57.521;9.5;19.77059705;74
2.4.24 23:34;56.996;9.6;19.88898883;74
2.4.24 23:49;57.102;9.1;18.77730551;76
3.4.24 0:04;57.323;8.9;18.37296406;77
3.4.24 0:19;57.389;8.9;18.38534715;77
3.4.24 0:34;57.323;8.9;18.37296406;77
3.4.24 0:49;56.956;9;18.5258046;76
3.4.24 1:19;56.779;9.3;19.16188217;75
3.4.24 1:34;56.774;9.1;18.71305882;76
3.4.24 1:49;56.763;9.1;18.71090016;76
3.4.24 2:04;56.747;9.1;18.70775983;76
3.4.24 2:19;56.708;9.1;18.70010295;76
3.4.24 2:34;56.695;9;18.47558547;76
3.4.24 2:49;56.711;9;18.47866825;76
3.4.24 3:04;56.714;8.9;18.25826808;77
3.4.24 3:19;56.696;8.8;18.03498267;77
3.4.24 3:34;56.638;8.8;18.02422643;77
3.4.24 3:49;56.475;8.8;17.9939595;77
3.4.24 4:04;56.337;8.8;17.96829056;77
3.4.24 4:19;56.131;8.9;18.1477271;77
3.4.24 4:49;56.062;8.9;18.13459564;77
3.4.24 5:04;56.022;8.9;18.12697847;77
3.4.24 5:19;55.98;8.9;18.11897669;77
3.4.24 5:49;55.51;9.1;18.46326968;76
3.4.24 6:19;55.362;9.5;19.31236413;75
3.4.24 6:34;55.091;10;20.37277392;73
3.4.24 6:49;54.687;10.4;21.18839421;72
3.4.24 7:04;54.679;10.3;20.95664869;73
3.4.24 7:19;54.193;10.6;21.52220675;72
3.4.24 7:34;54.023;11.3;23.12674762;70
3.4.24 7:49;54.017;11;22.4088237;71
3.4.24 8:04;54.004;10.6;21.47234095;72
3.4.24 8:34;52.9;11.6;23.50694978;69
3.4.24 8:49;52.405;11.9;24.07398173;69
3.4.24 9:19;51.987;11.9;23.93541682;69
3.4.24 9:34;51.475;12.4;24.98229646;68
3.4.24 9:49;51.121;12.9;26.11167503;67
3.4.24 10:04;51.377;12.5;25.19569051;68
3.4.24 10:19;50.858;12.8;25.75499881;67
3.4.24 10:49;49.674;14.3;29.2503829;64
3.4.24 11:04;49.605;14.3;29.21703042;64
3.4.24 11:19;49.959;13.3;26.67423708;66
3.4.24 11:34;50.255;13;26.0259258;67
3.4.24 11:49;49.635;14.1;28.67192261;65
3.4.24 12:19;49.108;15.5;32.54821616;62
3.4.24 12:34;49.658;13.8;27.86337443;65
3.4.24 12:49;50.204;13.3;26.77630207;66
3.4.24 13:04;50.227;13.4;27.04752643;66
3.4.24 13:19;50.844;12.8;25.74961454;67
3.4.24 13:34;51.292;12.6;25.41483193;68
3.4.24 13:49;51.056;13;26.34380112;67
3.4.24 14:34;51.425;12.8;25.9725868;67
3.4.24 15:04;51.423;13.1;26.75072342;66
3.4.24 15:19;50.842;13.9;28.67186112;65
3.4.24 15:34;50.482;14.1;29.06865955;64
3.4.24 15:49;50.25;14.4;29.81673233;64
3.4.24 16:04;49.822;14.4;29.60729645;64
3.4.24 16:19;49.995;13.9;28.28737218;65
3.4.24 16:34;49.725;13.9;28.16438452;65
3.4.24 16:49;49.766;13.8;27.91190343;65
3.4.24 17:04;50.249;13.3;26.79502979;66
3.4.24 17:19;50.323;13;26.05298377;67
3.4.24 17:34;50.839;12.9;26.00168714;67
3.4.24 17:49;51.453;12.1;24.23873617;69
3.4.24 18:04;51.783;11.6;23.15418995;70
3.4.24 18:19;52.075;11.6;23.24674378;70
3.4.24 18:34;52.31;11.6;23.32105642;70
3.4.24 18:49;53.006;11.4;23.06096547;70
3.4.24 19:04;53.364;11;22.22393532;71
3.4.24 19:19;53.963;10.8;21.92455518;71
3.4.24 19:34;54.035;10.5;21.25083993;72
3.4.24 19:49;54.102;10.5;21.26822576;72
3.4.24 20:04;54.574;10.4;21.15972825;72
3.4.24 20:19;54.564;10.5;21.38779659;72
3.4.24 20:49;54.337;10.8;22.02654911;71
3.4.24 21:04;54.244;10.8;22.00122105;71
3.4.24 21:19;54.195;10.8;21.9878671;71
3.4.24 21:34;54.188;10.9;22.22073522;71
3.4.24 21:49;54.674;10.5;21.41618554;72
3.4.24 22:04;55.195;10.1;20.62514988;73
3.4.24 22:19;55.282;10.3;21.10648441;72
3.4.24 22:34;55.366;10.1;20.6660626;73
3.4.24 22:49;55.491;9.9;20.23897113;74
3.4.24 23:04;55.985;9.8;20.1239545;74
3.4.24 23:19;56.081;9.8;20.14556379;74
3.4.24 23:34;56.598;9.5;19.57598959;75
3.4.24 23:49;56.785;9.4;19.38875099;75
4.4.24 0:04;56.833;9.3;19.17288194;75
4.4.24 0:19;56.935;9.3;19.19364172;75
4.4.24 0:34;57.208;9.3;19.24909204;75
4.4.24 0:49;57.464;9.1;18.84794298;76
4.4.24 1:19;57.565;8.9;18.4183241;77
4.4.24 1:49;57.512;9.4;19.53907528;75
4.4.24 2:04;57.468;9.5;19.75947373;74
4.4.24 2:19;56.912;9.8;20.33172166;74
4.4.24 2:34;56.783;9.9;20.53473843;73
4.4.24 2:49;56.737;9.9;20.52427526;73
4.4.24 3:04;56.697;9.9;20.51517286;73
4.4.24 3:19;56.517;10;20.70621252;73
4.4.24 3:34;56.411;9.9;20.44998205;73
4.4.24 3:49;56.678;9.6;19.82053683;74
4.4.24 4:04;56.791;9.4;19.38999643;75
4.4.24 4:19;56.799;9.4;19.39165688;75
4.4.24 4:34;56.788;9.4;19.38937372;75
4.4.24 4:49;56.755;9.5;19.6092265;75
4.4.24 5:04;56.718;9.8;20.28840551;74
4.4.24 5:19;56.517;9.8;20.24343481;74
4.4.24 5:34;56.093;10;20.60757694;73
4.4.24 5:49;55.9;10.1;20.79336778;73
4.4.24 6:04;55.442;10.1;20.68422314;73
4.4.24 6:19;55.402;10.1;20.67466671;73
4.4.24 6:34;55.352;10.3;21.12381978;72
4.4.24 6:49;54.697;10.5;21.42211753;72
4.4.24 7:04;54.19;10.8;21.9865041;71
4.4.24 7:19;54.035;11;22.41390415;71
4.4.24 7:34;53.898;11.3;23.0896675;70
4.4.24 8:19;52.957;11.3;22.80917817;70
4.4.24 8:34;52.72;11.3;22.73815462;70
4.4.24 8:49;52.728;11.1;22.27380951;71
