wahltermin_datum,wahl,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,GR�NE,FDP,DIE LINKE,UWG,SOZIAL,NPD,AfD,PRO NRW,PIRATEN,FB,Die STADTGESTALTER
25.05.2014,Ratswahl NRW,5911000,1001,1423,1241,182,0,566,0,19,547,207,165,75,16,26,,6,13,13,2,8,8,8
25.05.2014,Ratswahl NRW,5911000,1002,1414,1219,195,0,509,0,2,507,185,165,47,19,32,,3,2,26,8,8,5,7
25.05.2014,Ratswahl NRW,5911000,1003,1337,1056,281,0,445,0,6,439,159,162,45,10,18,,1,4,17,5,7,6,5
25.05.2014,Ratswahl NRW,5911000,1004,1426,1128,298,0,704,1,6,698,178,270,118,27,38,,3,1,20,1,19,7,16
25.05.2014,Ratswahl NRW,5911000,1005,1513,1274,239,0,501,1,7,494,168,137,85,10,40,,5,5,7,4,13,16,4
25.05.2014,Ratswahl NRW,5911000,1006,1216,1028,188,0,481,0,3,478,151,147,82,16,37,,3,5,7,4,16,8,2
25.05.2014,Ratswahl NRW,5911000,1007,1290,1117,173,0,433,1,1,432,203,95,48,11,23,,3,6,13,6,14,6,4
25.05.2014,Ratswahl NRW,5911000,1101,1368,1133,235,0,571,3,3,568,224,172,74,16,26,,8,4,16,3,10,15,0
25.05.2014,Ratswahl NRW,5911000,1102,1381,1121,260,0,450,0,8,442,172,98,75,9,22,,7,5,19,4,9,12,10
25.05.2014,Ratswahl NRW,5911000,1103,1301,1081,220,0,473,0,7,466,137,130,94,11,30,,6,7,19,4,11,13,4
25.05.2014,Ratswahl NRW,5911000,1104,1323,1078,245,0,477,0,7,470,200,114,60,17,30,,8,7,11,4,9,8,2
25.05.2014,Ratswahl NRW,5911000,1105,1064,919,145,0,395,0,5,390,189,80,39,11,31,,2,7,11,5,6,8,1
25.05.2014,Ratswahl NRW,5911000,1106,1299,1106,193,0,477,0,6,471,188,103,78,10,45,,9,4,8,2,13,3,8
25.05.2014,Ratswahl NRW,5911000,1107,1205,1022,183,0,439,0,12,427,174,95,62,14,33,,6,3,15,3,7,10,5
25.05.2014,Ratswahl NRW,5911000,1201,1199,1021,178,0,421,3,6,415,168,58,81,7,46,,10,1,8,5,25,2,4
25.05.2014,Ratswahl NRW,5911000,1202,1249,982,267,0,525,5,7,518,164,124,124,14,40,,2,1,11,5,16,7,10
25.05.2014,Ratswahl NRW,5911000,1203,1224,1096,128,0,408,0,8,400,157,63,78,6,50,,4,8,12,3,16,2,1
25.05.2014,Ratswahl NRW,5911000,1204,1149,951,198,0,356,0,6,350,148,31,71,10,37,,6,6,14,1,17,4,5
25.05.2014,Ratswahl NRW,5911000,1205,1108,979,129,0,296,0,10,286,88,50,69,5,35,,1,2,15,3,16,1,1
25.05.2014,Ratswahl NRW,5911000,1206,1107,963,144,0,339,0,2,337,115,59,58,8,41,,1,5,19,4,16,1,10
25.05.2014,Ratswahl NRW,5911000,1207,1319,1100,219,0,445,1,3,442,141,84,117,8,36,,5,4,12,2,21,0,12
25.05.2014,Ratswahl NRW,5911000,1208,1367,1189,178,0,439,2,13,426,129,80,93,13,65,,5,1,12,5,14,3,6
25.05.2014,Ratswahl NRW,5911000,1301,1302,1121,181,0,616,2,4,612,176,106,172,20,67,,14,,17,6,14,10,10
25.05.2014,Ratswahl NRW,5911000,1302,1186,1017,169,0,489,1,6,483,141,89,137,19,50,,2,,9,3,24,6,3
25.05.2014,Ratswahl NRW,5911000,1303,1258,1002,256,0,476,1,3,473,149,109,124,14,40,,3,,11,1,7,8,7
25.05.2014,Ratswahl NRW,5911000,1304,1229,1008,221,0,604,0,5,599,178,118,201,16,35,,13,,7,4,13,4,10
25.05.2014,Ratswahl NRW,5911000,1305,1137,954,183,0,455,4,3,452,147,51,136,9,58,,11,,6,0,11,8,15
25.05.2014,Ratswahl NRW,5911000,1306,1016,803,213,0,483,3,3,480,121,124,143,22,27,,1,,12,6,7,12,5
25.05.2014,Ratswahl NRW,5911000,1307,1221,973,248,0,510,0,4,506,144,109,137,18,56,,3,,9,3,13,9,5
25.05.2014,Ratswahl NRW,5911000,1401,1160,989,171,0,421,0,9,412,124,105,79,19,39,,3,1,15,6,12,,9
25.05.2014,Ratswahl NRW,5911000,1402,1283,1111,172,0,466,1,6,460,136,74,130,19,55,,4,2,6,1,23,,10
25.05.2014,Ratswahl NRW,5911000,1403,1425,1171,254,0,541,0,4,537,171,120,129,16,59,,2,4,6,3,18,,9
25.05.2014,Ratswahl NRW,5911000,1404,1377,1123,254,0,630,0,9,621,196,137,140,15,76,,8,1,12,4,21,,11
25.05.2014,Ratswahl NRW,5911000,1405,1558,1332,226,0,676,0,8,668,202,105,183,10,86,,11,7,18,0,31,,15
25.05.2014,Ratswahl NRW,5911000,1406,1303,1105,198,0,626,0,2,624,210,130,140,29,60,,4,4,20,2,20,,5
25.05.2014,Ratswahl NRW,5911000,1407,1397,1158,239,0,619,1,5,614,216,201,113,13,38,,1,1,10,2,10,,9
25.05.2014,Ratswahl NRW,5911000,1501,968,831,137,0,262,0,2,260,84,35,43,8,33,,4,4,16,7,15,3,8
25.05.2014,Ratswahl NRW,5911000,1502,1135,998,137,0,351,0,4,347,144,55,49,8,38,,1,7,15,4,10,4,12
25.05.2014,Ratswahl NRW,5911000,1503,1216,1100,116,0,426,2,2,424,160,82,82,7,41,,4,4,17,4,16,1,6
25.05.2014,Ratswahl NRW,5911000,1504,919,846,73,0,319,0,5,314,136,39,57,3,48,,1,2,13,0,7,4,4
25.05.2014,Ratswahl NRW,5911000,1505,860,799,61,0,201,0,3,198,93,21,34,5,24,,0,3,4,4,6,1,3
25.05.2014,Ratswahl NRW,5911000,1506,876,813,63,0,239,0,4,235,100,37,35,6,30,,1,2,11,3,9,1,0
25.05.2014,Ratswahl NRW,5911000,1507,1090,960,130,0,289,0,2,287,102,67,35,4,32,,2,7,13,5,14,2,4
25.05.2014,Ratswahl NRW,5911000,1508,1159,991,168,0,465,0,5,460,198,104,53,9,13,,4,9,40,5,11,10,4
25.05.2014,Ratswahl NRW,5911000,1509,1056,932,124,0,271,2,6,265,112,53,41,2,15,,3,11,8,3,14,1,2
25.05.2014,Ratswahl NRW,5911000,1601,1111,998,113,0,409,0,6,403,191,79,36,14,17,,1,6,21,19,8,10,1
25.05.2014,Ratswahl NRW,5911000,1602,1597,1392,205,0,724,0,8,716,460,97,50,12,29,,1,5,22,13,6,17,4
25.05.2014,Ratswahl NRW,5911000,1603,1206,1007,199,0,349,0,2,347,173,71,29,9,21,,3,6,13,7,7,5,3
