wahltermin_datum;wahl;Wahlkreis;AGS;Bez-Nr;Wahlberechtigte;Ohne Sperrvermerk;Mit Sperrvermerk;Nicht im W�hlerverzeichnis;Waehler;DavonMitWahlschein;UngueltigeErststimmen;UngueltigeZweitstimmen;GueltigeErststimmen;GueltigeZweitstimmen;CDU;CDU;SPD;SPD;Gr�ne;Gr�ne;Die Linke;Die Linke;FDP;FDP;AfD;AfD;D7;Piraten;D8;NPD;D9;Die PARTEI;D10;Freie W�hler;D11;Volksabstimmung;D12;�DP;MLPD;MLPD;D14;SGP;D15;Allianz Deutscher Demokraten;D16;BGE;D17;DiB;D18;DKP;D19;DM;D20;Die Humanisten;D21;Gesundheitsforschung;D22;Tierschutzpartei;D23;V-Partei�
24.09.2017;Bundestagswahl;140;5911000;1001;1337;1003;334;0;735;0;5;5;730;730;232;219;266;208;55;77;63;71;48;64;63;68;;1;;1;;7;;2;;0;;3;3;0;;0;;1;;0;;1;;0;;0;;0;;0;;6;;1
24.09.2017;Bundestagswahl;140;5911000;1002;1326;969;357;0;673;1;5;5;668;668;165;147;247;195;45;55;59;69;64;83;84;85;;3;;2;;8;;4;;2;;0;4;0;;0;;3;;0;;0;;0;;0;;0;;0;;9;;3
24.09.2017;Bundestagswahl;140;5911000;1003;1287;849;438;0;600;1;9;6;591;594;164;137;209;160;48;60;51;61;47;73;72;75;;4;;3;;5;;1;;0;;0;0;0;;0;;5;;2;;1;;0;;0;;1;;0;;6;;0
24.09.2017;Bundestagswahl;140;5911000;1004;1320;891;429;0;768;3;10;8;758;760;274;224;227;139;83;107;71;88;60;128;40;42;;3;;0;;12;;0;;0;;1;3;0;;0;;0;;3;;4;;0;;0;;2;;1;;5;;1
24.09.2017;Bundestagswahl;140;5911000;1005;1434;979;455;0;594;2;4;4;590;590;165;137;199;158;52;66;69;69;42;76;60;59;;4;;0;;8;;1;;0;;0;3;2;;0;;3;;2;;0;;0;;0;;0;;0;;5;;0
24.09.2017;Bundestagswahl;140;5911000;1006;1206;837;369;0;579;0;7;4;572;575;159;123;207;154;53;60;66;80;47;83;39;47;;4;;0;;10;;0;;0;;1;1;2;;0;;3;;0;;0;;0;;0;;1;;0;;5;;2
24.09.2017;Bundestagswahl;140;5911000;1007;1193;929;264;0;648;5;6;6;642;642;150;131;296;251;27;40;44;61;50;69;74;73;;0;;0;;7;;0;;0;;0;1;0;;0;;2;;1;;0;;0;;3;;0;;0;;3;;1
24.09.2017;Bundestagswahl;140;5911000;1101;1310;942;368;0;700;3;10;8;690;692;218;194;259;222;47;59;61;54;47;84;54;54;;1;;1;;6;;1;;0;;0;4;2;;0;;1;;0;;1;;0;;2;;1;;1;;8;;0
24.09.2017;Bundestagswahl;140;5911000;1102;1303;925;378;0;551;0;6;1;545;550;143;118;211;180;49;54;65;64;22;47;52;55;;2;;1;;12;;2;;0;;2;3;0;;0;;7;;2;;0;;0;;0;;0;;0;;4;;0
24.09.2017;Bundestagswahl;140;5911000;1103;1244;912;332;0;656;4;6;3;650;653;175;147;210;150;58;78;95;105;36;63;76;86;;1;;0;;10;;0;;1;;1;0;0;;0;;0;;1;;1;;0;;1;;1;;0;;7;;0
24.09.2017;Bundestagswahl;140;5911000;1104;1243;855;388;0;589;0;9;5;580;584;149;130;223;192;43;46;64;65;47;67;53;54;;3;;1;;8;;2;;2;;0;1;0;;0;;4;;0;;2;;0;;0;;1;;0;;6;;1
