wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,Gr�ne,Gr�ne,Die Linke,Die Linke,FDP,FDP,AfD,AfD,D7,Piraten,D8,NPD,D9,Die PARTEI,D10,Freie W�hler,D11,Volksabstimmung,D12,�DP,MLPD,MLPD,D14,SGP,D15,Allianz Deutscher Demokraten,D16,BGE,D17,DiB,D18,DKP,D19,DM,D20,Die Humanisten,D21,Gesundheitsforschung,D22,Tierschutzpartei,D23,V-Partei�
24.09.2017,Bundestagswahl,141,5916000,1011,1025,893,132,0,576,0,13,5,563,571,100,87,229,205,18,19,42,41,23,27,148,150,,8,,6,,3,,3,,0,,0,3,3,,0,,7,,1,,0,,0,,0,,0,,1,,9,,1
24.09.2017,Bundestagswahl,141,5916000,1012,1109,899,210,0,578,1,14,8,564,570,146,147,242,165,24,33,34,48,40,54,76,92,,3,,1,,3,,2,,0,,0,2,0,,0,,9,,0,,0,,0,,4,,1,,1,,7,,0
24.09.2017,Bundestagswahl,141,5916000,1013,1107,952,155,0,542,1,17,9,525,533,110,103,230,174,18,19,32,31,32,43,101,103,,10,,3,,7,,1,,1,,0,2,1,,0,,31,,1,,0,,1,,0,,1,,1,,2,,0
24.09.2017,Bundestagswahl,141,5916000,1014,1084,917,167,0,604,0,13,11,591,593,138,134,249,216,19,19,38,34,34,53,113,105,,4,,3,,3,,2,,0,,0,0,0,,0,,8,,0,,0,,0,,0,,0,,1,,11,,0
24.09.2017,Bundestagswahl,141,5916000,1021,951,776,175,0,443,1,9,6,434,437,96,88,184,138,18,13,27,32,34,54,73,73,,5,,3,,3,,0,,1,,0,2,1,,0,,18,,0,,0,,0,,0,,0,,0,,7,,1
24.09.2017,Bundestagswahl,141,5916000,1022,1018,818,200,0,469,0,8,3,461,466,93,93,196,172,30,21,28,34,28,35,85,89,,0,,1,,5,,1,,2,,0,1,1,,0,,2,,0,,0,,0,,1,,1,,1,,7,,0
24.09.2017,Bundestagswahl,141,5916000,1023,903,769,134,0,459,1,9,7,450,452,113,103,189,160,13,14,23,43,29,28,83,79,,2,,3,,1,,1,,0,,0,0,0,,0,,12,,0,,2,,0,,1,,1,,0,,2,,0
24.09.2017,Bundestagswahl,141,5916000,1024,982,790,192,0,558,0,13,6,545,552,138,133,211,169,32,31,47,47,34,56,81,80,,8,,2,,4,,0,,0,,0,2,1,,0,,10,,0,,0,,0,,0,,0,,0,,11,,0
24.09.2017,Bundestagswahl,141,5916000,1025,931,771,160,0,506,0,7,11,499,495,143,122,230,201,22,24,27,20,25,47,51,55,,5,,1,,2,,2,,1,,0,1,1,,0,,5,,3,,1,,1,,0,,1,,0,,3,,0
24.09.2017,Bundestagswahl,141,5916000,1031,1048,902,146,0,533,0,10,12,523,521,109,113,223,176,14,14,39,44,31,31,103,108,,6,,3,,6,,0,,0,,0,4,3,,0,,12,,0,,0,,0,,0,,1,,0,,4,,0
24.09.2017,Bundestagswahl,141,5916000,1032,1051,927,124,0,514,0,34,9,480,505,85,79,207,159,9,17,40,29,36,42,94,97,,5,,1,,3,,1,,1,,0,9,2,,0,,58,,0,,1,,0,,1,,2,,0,,6,,1
24.09.2017,Bundestagswahl,141,5916000,1033,1123,914,209,0,513,0,9,7,504,506,99,106,215,168,20,18,38,46,33,43,98,104,,4,,2,,3,,0,,0,,1,1,1,,0,,5,,0,,1,,0,,0,,0,,0,,3,,1
24.09.2017,Bundestagswahl,141,5916000,1034,1264,1069,195,0,595,0,25,25,570,570,118,119,230,190,20,22,43,45,49,54,106,107,,3,,3,,3,,1,,1,,0,4,2,,1,,7,,0,,0,,0,,1,,0,,0,,10,,1
24.09.2017,Bundestagswahl,141,5916000,1041,819,713,106,0,375,2,12,5,363,370,51,51,176,136,14,17,20,27,20,17,79,88,,3,,0,,2,,0,,0,,0,3,1,,0,,21,,0,,0,,0,,0,,0,,0,,7,,0
24.09.2017,Bundestagswahl,141,5916000,1042,1020,852,168,0,484,0,12,11,472,473,99,103,201,181,23,13,41,43,25,26,83,80,,5,,0,,6,,1,,2,,0,0,0,,0,,7,,0,,0,,0,,1,,0,,0,,5,,0
24.09.2017,Bundestagswahl,141,5916000,1043,1006,837,169,0,525,1,18,14,507,511,129,132,190,150,21,27,47,49,30,40,89,88,,2,,1,,2,,2,,0,,0,1,1,,0,,10,,0,,0,,0,,0,,0,,2,,5,,0
24.09.2017,Bundestagswahl,141,5916000,1044,1152,960,192,0,580,1,14,9,566,571,113,115,263,234,16,22,44,46,33,30,97,94,,5,,0,,7,,0,,0,,1,0,0,,0,,4,,0,,0,,0,,0,,1,,0,,11,,1
24.09.2017,Bundestagswahl,141,5916000,1051,1024,838,186,0,453,0,17,12,436,441,96,90,165,142,21,20,52,55,15,23,85,79,,6,,2,,0,,0,,3,,0,2,2,,0,,7,,1,,0,,0,,0,,1,,0,,10,,0
24.09.2017,Bundestagswahl,141,5916000,1052,1025,873,152,0,518,0,18,14,500,504,118,99,192,154,23,34,59,62,34,42,73,78,,0,,4,,4,,1,,0,,0,1,4,,0,,13,,0,,1,,0,,0,,0,,2,,6,,0
24.09.2017,Bundestagswahl,141,5916000,1053,966,808,158,0,436,0,11,13,425,423,92,71,196,163,26,30,35,39,23,37,51,50,,6,,2,,3,,1,,0,,0,2,2,,0,,9,,1,,2,,0,,4,,0,,0,,3,,0
24.09.2017,Bundestagswahl,141,5916000,1054,1109,919,190,0,519,1,10,2,509,517,84,84,226,200,16,24,48,43,29,33,106,103,,5,,6,,6,,0,,0,,0,0,0,,0,,11,,0,,0,,0,,0,,0,,0,,2,,0
24.09.2017,Bundestagswahl,141,5916000,2061,1015,829,186,0,548,2,24,13,524,535,89,86,241,200,16,18,35,38,40,44,102,93,,7,,5,,2,,3,,2,,0,1,0,,0,,26,,0,,2,,0,,1,,0,,0,,7,,1
24.09.2017,Bundestagswahl,141,5916000,2062,1060,905,155,0,538,0,17,6,521,532,115,100,223,171,11,14,24,36,45,50,102,100,,3,,4,,3,,2,,2,,1,1,1,,0,,25,,0,,0,,0,,1,,0,,1,,18,,0
24.09.2017,Bundestagswahl,141,5916000,2063,1022,834,188,0,511,0,20,7,491,504,131,118,190,163,14,25,40,36,38,42,76,75,,5,,1,,8,,2,,0,,1,2,1,,0,,12,,0,,0,,0,,0,,0,,1,,13,,1
24.09.2017,Bundestagswahl,141,5916000,2064,1041,888,153,0,517,0,12,12,505,505,87,82,227,202,23,21,41,44,37,40,88,88,,5,,2,,3,,2,,0,,0,2,0,,0,,8,,2,,1,,0,,0,,0,,0,,4,,1
24.09.2017,Bundestagswahl,141,5916000,2071,1167,999,168,0,587,2,4,3,583,584,137,138,242,189,29,30,46,51,32,51,93,90,,5,,7,,4,,0,,1,,0,4,3,,0,,11,,1,,1,,0,,0,,0,,2,,0,,0
24.09.2017,Bundestagswahl,141,5916000,2072,1217,1042,175,0,626,0,12,7,614,619,127,131,236,193,27,30,65,61,39,49,116,106,,8,,2,,14,,2,,0,,0,4,1,,0,,6,,0,,0,,0,,1,,0,,2,,12,,1
24.09.2017,Bundestagswahl,141,5916000,2073,1105,922,183,0,492,0,16,6,476,486,86,93,204,164,24,27,53,53,23,27,82,88,,7,,4,,4,,3,,0,,0,4,0,,1,,7,,1,,0,,0,,1,,3,,0,,3,,0
24.09.2017,Bundestagswahl,141,5916000,2081,1132,880,252,0,591,0,10,7,581,584,117,120,260,209,45,35,46,50,38,49,74,80,,1,,4,,6,,1,,1,,0,1,3,,0,,17,,0,,0,,0,,0,,0,,0,,7,,1
24.09.2017,Bundestagswahl,141,5916000,2082,1132,929,203,0,535,1,8,3,527,532,116,124,215,168,23,25,50,50,46,63,74,74,,3,,3,,9,,0,,1,,0,3,4,,0,,5,,0,,1,,0,,0,,0,,0,,2,,0
24.09.2017,Bundestagswahl,141,5916000,2083,1215,963,252,0,677,0,13,9,664,668,159,160,269,215,44,53,60,58,44,66,87,89,,3,,2,,9,,2,,1,,1,1,0,,0,,0,,1,,1,,0,,3,,0,,1,,3,,0
24.09.2017,Bundestagswahl,141,5916000,2091,1191,981,210,0,663,0,9,7,654,656,126,122,276,241,29,20,49,53,39,50,135,132,,6,,3,,2,,2,,0,,2,0,0,,0,,6,,0,,1,,0,,0,,1,,1,,13,,1
24.09.2017,Bundestagswahl,141,5916000,2092,1278,1027,251,0,720,0,15,15,705,705,173,171,314,273,32,22,47,56,40,58,97,97,,4,,3,,3,,0,,2,,0,2,1,,0,,1,,0,,0,,0,,1,,0,,0,,13,,0
24.09.2017,Bundestagswahl,141,5916000,2093,1256,990,266,0,725,1,14,11,711,714,165,165,272,213,42,40,57,64,52,72,122,122,,9,,2,,6,,0,,1,,1,1,1,,0,,6,,0,,0,,0,,0,,1,,2,,8,,1
24.09.2017,Bundestagswahl,141,5916000,2094,1258,965,293,0,694,0,16,13,678,681,156,151,269,229,39,40,59,47,49,69,106,114,,1,,1,,7,,2,,1,,0,0,0,,0,,4,,1,,0,,0,,1,,1,,1,,11,,0
24.09.2017,Bundestagswahl,141,5916000,2101,1338,1039,299,0,647,0,15,13,632,634,122,131,287,227,26,21,36,51,25,36,135,135,,5,,4,,6,,0,,1,,0,1,1,,0,,7,,0,,0,,0,,0,,0,,1,,7,,1
24.09.2017,Bundestagswahl,141,5916000,2102,1338,1025,313,0,708,0,5,8,703,700,221,221,265,223,46,44,37,37,49,75,84,72,,4,,3,,6,,1,,0,,3,1,0,,0,,1,,0,,1,,0,,1,,0,,3,,3,,2
24.09.2017,Bundestagswahl,141,5916000,2103,1163,943,220,0,623,0,9,9,614,614,162,157,257,222,31,31,43,51,50,65,71,65,,11,,1,,0,,0,,1,,0,0,0,,0,,3,,0,,0,,0,,0,,0,,0,,5,,2
24.09.2017,Bundestagswahl,141,5916000,2111,1263,999,264,0,683,0,10,6,673,677,175,159,272,229,43,55,43,45,47,55,91,98,,4,,1,,6,,2,,0,,0,2,3,,0,,2,,3,,0,,1,,2,,0,,0,,12,,0
24.09.2017,Bundestagswahl,141,5916000,2112,1312,1013,299,0,683,0,12,7,671,676,179,167,294,245,21,31,50,47,45,64,82,87,,5,,2,,8,,0,,2,,0,0,0,,0,,9,,0,,0,,0,,1,,1,,0,,7,,0
24.09.2017,Bundestagswahl,141,5916000,2113,1426,1119,307,0,778,0,13,10,765,768,189,191,325,275,35,32,62,55,47,62,105,117,,2,,1,,15,,1,,1,,0,2,1,,0,,1,,2,,1,,0,,1,,0,,1,,9,,0
