wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,140,5911000,1001,1371,1058,313,0,744,1,13,12,731,732,297,248,306,269,5,24,46,75,37,44,20,17,17,8,,1,,0,,3,,3,3,3,,0,,0,,31,,0,,2,,1,,0,,1,,2,,0
22.09.2013,Bundestagswahl,140,5911000,1002,1354,1069,285,0,736,0,20,20,716,716,252,224,331,282,8,25,32,47,58,65,22,19,11,4,,1,,0,,2,,1,2,3,,1,,0,,30,,2,,2,,0,,5,,0,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1003,1279,883,396,0,580,0,4,2,576,578,222,197,255,207,5,21,29,51,42,46,19,16,4,5,,0,,0,,0,,1,0,0,,0,,0,,27,,0,,1,,0,,2,,1,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1004,1366,970,396,0,828,7,10,6,818,822,375,288,266,230,14,56,85,123,55,58,17,17,3,1,,0,,0,,0,,1,3,1,,0,,0,,37,,0,,0,,0,,3,,1,,0,,6
22.09.2013,Bundestagswahl,140,5911000,1005,1404,1025,379,0,638,0,10,8,628,630,196,170,285,233,6,21,60,92,50,58,16,17,14,7,,2,,0,,0,,2,1,0,,0,,0,,21,,0,,1,,0,,2,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,1006,1138,872,266,0,609,5,7,13,602,596,215,186,243,211,6,19,49,60,55,55,26,24,8,7,,0,,1,,0,,2,0,1,,0,,0,,25,,0,,1,,0,,1,,1,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1007,1196,966,230,0,658,5,10,10,648,648,198,172,331,280,7,21,41,69,43,45,14,19,13,7,,1,,0,,2,,0,1,0,,0,,0,,23,,5,,1,,1,,0,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1101,1323,989,334,0,708,1,14,11,694,697,306,264,300,264,2,27,25,51,36,49,15,13,8,5,,0,,0,,1,,0,2,0,,0,,0,,19,,0,,1,,0,,1,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1102,1360,1025,335,0,586,2,7,4,579,582,190,166,271,226,10,20,42,62,44,57,17,19,4,4,,0,,1,,0,,5,1,1,,0,,0,,16,,0,,2,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1103,1251,957,294,0,646,2,7,5,639,641,218,188,248,215,6,23,69,90,60,65,27,24,10,10,,0,,0,,1,,0,1,0,,0,,0,,19,,0,,2,,0,,1,,0,,0,,3
22.09.2013,Bundestagswahl,140,5911000,1104,1281,957,324,0,618,2,11,9,607,609,181,159,301,268,14,19,42,57,39,54,23,14,7,8,,0,,0,,1,,0,0,0,,0,,0,,23,,0,,0,,0,,0,,0,,1,,5
22.09.2013,Bundestagswahl,140,5911000,1105,1000,832,168,0,542,1,10,10,532,532,173,153,268,235,5,23,29,36,40,49,9,11,6,3,,0,,1,,1,,2,2,0,,0,,0,,12,,0,,0,,0,,3,,0,,1,,2
22.09.2013,Bundestagswahl,140,5911000,1106,1237,952,285,0,629,5,11,5,618,624,196,184,303,248,8,10,36,71,48,64,20,14,5,6,,0,,0,,2,,0,2,0,,0,,0,,17,,0,,1,,0,,0,,1,,0,,6
22.09.2013,Bundestagswahl,140,5911000,1107,1162,898,264,0,593,0,9,8,584,585,181,161,290,267,4,19,43,55,42,43,8,13,15,11,,0,,0,,1,,0,1,0,,0,,0,,9,,0,,1,,0,,1,,0,,0,,4
22.09.2013,Bundestagswahl,140,5911000,1201,1116,864,252,0,529,2,11,9,518,520,136,112,217,182,4,11,45,64,73,95,32,21,9,4,,1,,0,,1,,1,2,3,,0,,0,,16,,0,,1,,0,,3,,0,,1,,4
22.09.2013,Bundestagswahl,140,5911000,1202,1207,820,387,0,588,0,7,5,581,583,197,152,199,162,10,29,79,102,58,67,25,23,10,8,,2,,0,,1,,1,3,1,,0,,0,,26,,0,,1,,0,,1,,1,,0,,6
22.09.2013,Bundestagswahl,140,5911000,1203,1072,867,205,0,505,1,12,9,493,496,108,93,238,203,3,11,50,70,56,69,19,19,17,11,,0,,0,,1,,0,2,0,,0,,0,,12,,1,,3,,1,,0,,0,,0,,2
22.09.2013,Bundestagswahl,140,5911000,1204,1081,835,246,0,536,1,16,13,520,523,109,85,256,208,9,15,51,71,50,69,34,23,10,6,,1,,2,,0,,0,1,1,,0,,0,,32,,4,,0,,0,,0,,3,,0,,3
