wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte insgesamt,ohne Vermerk W,mit Vermerk W,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU ,CDU,SPD,SPD,FDP,FDP,GR�NE,GR�NE,DIE LINKE,DIE LINKE,Piraten,Piraten,NPD,NPD,REP,REP,B�ndnis 21 / RRP,B�ndnis 21 /RRP,Volksabstimmung,Volksabstimmung,�DP,�DP,MLPD,MLPD,B�So,B�So,PSG,PSG,AfD,AfD,BIG,BIG,pro Deutschland,pro Deutschland,Die Rechte,Die Rechte,FREIE W�HLER,FREIE W�HLER,Partei der Nichtw�hler,Partei der Nichtw�hler,Partei der Vernunft,Partei der Vernunft,Die PARTEI,Die PARTEI
22.09.2013,Bundestagswahl,141,5911000,3101,1183,911,272,0,633,2,6,5,627,628,225,212,293,247,14,24,40,53,30,37,16,13,7,11,,0,,0,,0,,0,2,1,,0,,0,,24,,0,,0,,0,,3,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,3102,1395,1030,365,0,698,2,9,4,689,694,248,228,298,278,12,23,48,45,39,48,19,16,25,17,,4,,1,,1,,0,0,1,,0,,0,,24,,0,,3,,0,,0,,0,,0,,5
22.09.2013,Bundestagswahl,141,5911000,3103,1320,955,365,0,683,1,10,4,673,679,197,195,337,302,8,19,38,49,57,57,17,14,17,7,,2,,0,,2,,0,2,0,,0,,0,,24,,2,,1,,0,,1,,1,,0,,3
22.09.2013,Bundestagswahl,141,5911000,3104,1101,927,174,0,619,0,9,7,610,612,178,167,299,278,12,23,27,33,52,51,22,15,20,12,,4,,0,,3,,0,0,0,,0,,0,,20,,0,,3,,0,,0,,0,,0,,3
22.09.2013,Bundestagswahl,141,5911000,3105,1061,843,218,0,557,1,10,6,547,551,169,166,261,223,9,18,30,40,50,41,13,12,15,13,,2,,0,,1,,3,0,1,,0,,0,,26,,1,,1,,0,,2,,0,,0,,1
22.09.2013,Bundestagswahl,141,5911000,3106,994,905,89,0,538,1,10,8,528,530,161,160,260,231,8,8,25,30,42,46,10,10,21,17,,1,,0,,1,,0,1,0,,0,,0,,20,,2,,1,,0,,0,,0,,1,,2
22.09.2013,Bundestagswahl,141,5911000,3107,1222,999,223,0,631,7,10,7,621,624,159,157,336,310,8,16,38,33,42,51,19,8,18,11,,1,,0,,0,,0,1,1,,0,,1,,25,,0,,3,,0,,2,,1,,0,,4
22.09.2013,Bundestagswahl,141,5911000,3108,1048,898,150,0,581,4,9,6,572,575,149,145,302,288,5,10,35,37,42,33,18,11,21,14,,2,,0,,0,,0,0,0,,0,,0,,23,,3,,1,,0,,4,,0,,0,,4
22.09.2013,Bundestagswahl,141,5911000,3201,1286,989,297,0,712,2,6,4,706,708,236,221,345,306,6,17,41,60,35,37,14,15,28,13,,2,,1,,1,,2,1,1,,0,,1,,30,,0,,1,,0,,0,,0,,0,,0
22.09.2013,Bundestagswahl,141,5911000,3202,1194,901,293,0,640,0,9,5,631,635,233,213,292,274,11,12,23,31,32,33,21,10,16,9,,1,,0,,2,,1,3,2,,0,,1,,39,,0,,2,,0,,0,,1,,1,,3
