wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberchtigte,ohne Sperrvermerk,mit Sperrvermerk,nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,SPD,SPD,CDU,CDU,GR�NE,GR�NE,FDP,FDP,PIRATEN,PIRATEN,DIE LINKE,DIE LINKE,D7,NPD,D8,Die PARTEI,D9,FREIE W�HLER,D10,BIG,D11,FBI/FWG,D12,�DP,D13,Volksabstimmung,D14,TIERSCHUTZliste,D15,AD-Demokraten NRW,AfD,AfD,D17,Aufbruch C,D18,BGE,D19,DBD,D20,DKP,D21,ZENTRUM,D22,Die Rechte,D23,REP,D24,DIE VIOLETTEN,D25,JED,MLPD,MLPD,D27,PAN,D28,Gesundheitsforschung,D29,"PARTEILOSE WG ""BRD""",D30,Sch�ner Leben,D31,V-Partei�
14.05.2017,Landtagswahl NRW,109,5911000,1201,1126,924,202,0,518,2,8,8,510,510,212,161,103,106,48,58,26,28,12,11,80,93,,0,,8,,1,,4,,0,,0,,1,,2,,0,26,30,,0,,1,,0,,0,,0,,0,,1,,1,,0,3,3,,0,,0,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,1202,1174,906,268,0,640,2,8,3,632,637,208,170,196,157,71,86,36,77,13,8,81,90,,2,,6,,1,,0,,0,,1,,1,,5,,0,26,29,,1,,1,,0,,0,,0,,0,,0,,1,,0,1,0,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1203,980,818,162,0,438,2,12,8,426,430,176,141,71,64,27,46,31,30,15,7,77,87,,2,,6,,1,,6,,0,,0,,0,,4,,1,28,31,,1,,0,,0,,0,,0,,1,,0,,1,,1,1,0,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,1204,1078,882,195,1,478,6,12,6,466,472,199,179,82,70,39,47,26,18,19,8,66,64,,1,,16,,2,,7,,0,,1,,0,,3,,8,34,41,,0,,1,,0,,0,,1,,0,,0,,2,,0,1,1,,0,,0,,1,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1205,1018,846,172,0,378,4,7,5,371,373,141,108,78,66,49,59,18,22,11,7,50,56,,0,,16,,4,,1,,0,,0,,0,,3,,1,16,23,,0,,0,,0,,2,,1,,0,,1,,0,,0,8,3,,0,,0,,0,,0,,0
14.05.2017,Landtagswahl NRW,109,5911000,1206,1083,842,241,0,439,4,11,4,428,435,150,125,80,69,48,58,24,30,21,9,72,69,,3,,18,,3,,4,,0,,1,,1,,2,,3,33,35,,1,,0,,1,,0,,0,,0,,0,,1,,0,0,0,,0,,0,,0,,0,,2
14.05.2017,Landtagswahl NRW,109,5911000,1207,1245,973,272,0,570,2,8,8,562,562,211,160,129,109,72,90,40,54,13,11,72,77,,1,,17,,2,,10,,0,,1,,0,,0,,0,25,26,,1,,0,,0,,0,,0,,0,,1,,0,,0,0,0,,0,,0,,0,,1,,1
14.05.2017,Landtagswahl NRW,109,5911000,1208,1225,1012,213,0,520,2,3,2,517,518,175,160,120,105,64,56,24,37,22,17,80,74,,2,,14,,3,,0,,0,,2,,0,,4,,2,27,29,,1,,1,,0,,1,,0,,1,,0,,1,,0,5,3,,0,,1,,0,,0,,4
14.05.2017,Landtagswahl NRW,109,5911000,1501,844,710,134,0,341,1,15,1,326,340,122,96,68,53,29,38,22,35,16,11,47,56,,2,,0,,1,,9,,0,,0,,0,,3,,4,18,24,,0,,0,,0,,0,,0,,0,,0,,0,,3,4,4,,0,,0,,0,,0,,1
14.05.2017,Landtagswahl NRW,109,5911000,1502,1032,867,165,0,434,2,3,1,431,433,165,141,79,63,37,38,27,33,11,8,71,67,,0,,15,,1,,8,,0,,0,,0,,9,,2,38,43,,1,,0,,1,,0,,0,,0,,0,,0,,0,3,1,,0,,1,,0,,1,,0
14.05.2017,Landtagswahl NRW,109,5911000,1503,1082,941,141,0,549,5,13,3,536,546,199,175,128,103,55,57,25,44,16,15,75,70,,0,,8,,2,,12,,0,,2,,0,,7,,2,37,41,,0,,0,,0,,0,,0,,1,,0,,0,,0,1,3,,0,,1,,0,,2,,1
