wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,"mit Sperrvermerk ""W""",A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,D3,FDP,GR�NE,REP,Tierschutzpartei,B�So,NPD,WASG,W�stefeld
22.05.2005,Landtagswahl NRW,107,5911000,1001,984,797,187,0,518,1,4,514,232,185,21,35,1,5,8,3,5,13,6
22.05.2005,Landtagswahl NRW,107,5911000,1002,870,705,165,0,416,1,4,412,170,148,18,52,2,6,5,2,3,6,0
22.05.2005,Landtagswahl NRW,107,5911000,1003,959,816,143,0,507,0,2,505,255,169,20,26,5,4,7,5,3,10,1
22.05.2005,Landtagswahl NRW,107,5911000,1004,996,783,213,0,445,3,4,441,206,147,16,34,3,7,5,1,8,11,3
22.05.2005,Landtagswahl NRW,107,5911000,1005,786,626,160,0,465,0,8,457,203,147,23,50,1,9,5,2,4,12,1
22.05.2005,Landtagswahl NRW,107,5911000,1006,853,579,274,0,419,0,7,412,127,191,26,43,3,3,8,1,3,7,0
22.05.2005,Landtagswahl NRW,107,5911000,1007,865,654,211,0,346,0,1,345,124,140,24,47,0,2,0,1,1,6,0
22.05.2005,Landtagswahl NRW,107,5911000,1008,747,605,142,0,332,0,3,329,181,76,9,29,4,5,10,0,6,9,0
22.05.2005,Landtagswahl NRW,107,5911000,1009,797,643,154,0,379,1,2,377,195,105,13,32,0,6,4,2,4,16,0
22.05.2005,Landtagswahl NRW,107,5911000,1010,825,683,142,0,382,0,4,378,192,99,17,26,4,6,8,1,12,11,2
22.05.2005,Landtagswahl NRW,107,5911000,1011,949,827,122,0,444,1,1,443,252,125,14,18,4,11,4,0,9,5,1
22.05.2005,Landtagswahl NRW,107,5911000,1101,805,652,153,0,429,1,2,427,207,155,12,25,1,4,4,6,2,9,2
22.05.2005,Landtagswahl NRW,107,5911000,1102,1228,1017,211,0,521,1,2,519,255,179,24,31,1,2,4,0,4,15,4
22.05.2005,Landtagswahl NRW,107,5911000,1103,1169,930,239,0,540,1,9,531,252,153,21,56,1,9,5,4,11,18,1
22.05.2005,Landtagswahl NRW,107,5911000,1104,778,631,147,0,301,0,5,296,148,85,10,31,2,1,5,0,9,4,1
22.05.2005,Landtagswahl NRW,107,5911000,1105,959,814,145,0,475,2,8,467,238,147,14,32,1,8,5,0,5,13,4
22.05.2005,Landtagswahl NRW,107,5911000,1106,1123,939,184,0,536,3,4,532,241,171,23,55,3,8,7,0,11,12,1
22.05.2005,Landtagswahl NRW,107,5911000,1107,856,706,150,0,462,5,7,455,170,160,35,51,0,6,9,1,7,15,1
22.05.2005,Landtagswahl NRW,107,5911000,1108,798,669,129,0,388,1,5,383,185,117,17,32,0,5,7,0,3,16,1
22.05.2005,Landtagswahl NRW,107,5911000,1109,1183,977,206,0,603,0,12,591,303,174,28,40,5,8,6,2,1,20,4
