wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,ohne Sperrvermerk,mit Sperrvermerk,A3,Waehler,DavonMitWahlschein,UngueltigeStimmen,GueltigeStimmen,SPD,CDU,FDP,GR�NE,REP,PDS,B�So,NPD,�DP,WASG
22.05.2005,Landtagswahl NRW,108,5911000,1301,736,624,112,0,407,0,6,401,203,86,14,63,0,9,1,7,1,17
22.05.2005,Landtagswahl NRW,108,5911000,1302,846,679,167,0,467,3,4,463,232,101,24,71,0,10,2,10,2,11
22.05.2005,Landtagswahl NRW,108,5911000,1303,819,621,198,0,464,4,3,461,177,169,36,54,1,4,1,6,4,9
22.05.2005,Landtagswahl NRW,108,5911000,1304,926,772,154,0,426,0,3,423,193,93,21,85,2,12,2,5,0,10
22.05.2005,Landtagswahl NRW,108,5911000,1305,804,659,145,0,391,0,8,383,185,118,14,41,2,6,1,1,2,13
22.05.2005,Landtagswahl NRW,108,5911000,1306,725,566,159,0,399,0,4,395,204,98,12,66,0,1,2,5,0,7
22.05.2005,Landtagswahl NRW,108,5911000,1307,788,604,184,0,449,0,7,442,201,152,20,59,2,0,1,2,1,4
22.05.2005,Landtagswahl NRW,108,5911000,1308,747,568,179,0,410,0,2,408,195,115,17,54,1,7,0,3,2,14
22.05.2005,Landtagswahl NRW,108,5911000,1309,892,732,160,0,407,0,6,401,195,107,19,53,3,9,0,7,0,8
22.05.2005,Landtagswahl NRW,108,5911000,1310,767,641,126,0,400,0,5,395,186,115,14,52,2,6,6,4,0,10
22.05.2005,Landtagswahl NRW,108,5911000,2601,904,770,134,0,496,4,10,486,233,177,25,26,2,6,1,3,0,13
22.05.2005,Landtagswahl NRW,108,5911000,2602,674,564,110,0,367,0,1,366,216,98,14,11,7,5,5,6,0,4
22.05.2005,Landtagswahl NRW,108,5911000,2603,696,558,138,0,348,0,3,345,215,70,10,20,7,9,0,2,0,12
22.05.2005,Landtagswahl NRW,108,5911000,2604,1006,773,233,0,578,4,5,573,269,227,32,30,1,2,1,5,0,6
22.05.2005,Landtagswahl NRW,108,5911000,2605,1189,941,248,0,672,0,7,665,313,268,34,20,5,1,5,7,2,10
22.05.2005,Landtagswahl NRW,108,5911000,2606,1008,842,166,0,495,1,4,491,253,155,15,29,5,5,4,8,0,17
22.05.2005,Landtagswahl NRW,108,5911000,2607,695,560,135,0,393,2,4,389,154,152,26,27,4,3,1,10,1,11
22.05.2005,Landtagswahl NRW,108,5911000,2608,549,435,114,0,291,0,2,289,160,78,8,14,1,9,2,5,3,9
22.05.2005,Landtagswahl NRW,108,5911000,2609,838,676,162,0,448,0,2,446,194,161,25,28,2,5,2,8,0,21
22.05.2005,Landtagswahl NRW,108,5911000,2610,710,556,154,0,371,1,124,247,101,105,15,13,0,4,0,0,0,9
22.05.2005,Landtagswahl NRW,108,5911000,2611,979,785,194,0,587,3,5,582,245,248,43,29,1,3,1,5,2,5
22.05.2005,Landtagswahl NRW,108,5911000,5101,1213,902,311,0,611,1,3,608,265,176,39,98,2,8,0,4,1,15
22.05.2005,Landtagswahl NRW,108,5911000,5102,1231,966,265,0,570,2,8,562,280,190,28,48,0,4,1,4,2,5
22.05.2005,Landtagswahl NRW,108,5911000,5103,609,509,100,0,287,0,2,285,139,95,17,16,1,7,0,3,1,6
22.05.2005,Landtagswahl NRW,108,5911000,5104,1030,807,223,0,565,0,7,558,261,188,13,61,1,10,3,4,2,15
22.05.2005,Landtagswahl NRW,108,5911000,5105,1384,1094,290,0,598,1,8,590,319,183,16,35,2,5,4,4,0,22
22.05.2005,Landtagswahl NRW,108,5911000,5106,929,771,158,0,508,1,5,503,265,126,22,59,3,4,4,2,2,16
22.05.2005,Landtagswahl NRW,108,5911000,5107,915,728,187,0,445,1,7,438,205,160,12,29,1,6,2,7,0,16
22.05.2005,Landtagswahl NRW,108,5911000,5108,1089,890,199,0,592,2,3,589,270,203,22,61,0,6,1,6,4,16
22.05.2005,Landtagswahl NRW,108,5911000,5109,1000,854,146,0,608,0,7,601,318,196,16,47,2,5,2,4,0,11
22.05.2005,Landtagswahl NRW,108,5911000,5110,1205,1001,204,0,653,3,13,640,339,176,36,41,5,9,3,10,2,19
22.05.2005,Landtagswahl NRW,108,5911000,5201,754,593,161,0,408,0,7,401,183,122,26,40,3,5,0,11,3,8
22.05.2005,Landtagswahl NRW,108,5911000,5202,774,588,186,0,384,0,3,381,165,134,12,41,2,5,3,3,4,12
22.05.2005,Landtagswahl NRW,108,5911000,5203,1326,1147,179,0,757,0,10,747,347,261,31,56,2,9,3,12,1,25
22.05.2005,Landtagswahl NRW,108,5911000,5204,818,676,142,0,488,1,5,483,233,171,19,35,3,1,0,5,1,15
22.05.2005,Landtagswahl NRW,108,5911000,5205,988,788,200,0,443,2,6,437,203,147,18,32,3,8,5,5,0,16
22.05.2005,Landtagswahl NRW,108,5911000,5206,851,740,111,0,319,1,3,316,142,102,9,33,2,11,1,2,1,13
