wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,107,5911000,1001,983,777,206,0,422,2,5,6,417,416,90,73,231,197,44,72,11,19,10,9,31,33,,5,,0,,3,,3,,1,,0,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1002,856,689,167,0,396,0,7,6,389,390,92,71,191,158,58,74,12,29,2,6,34,32,,8,,1,,5,,1,,0,,3,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,1003,960,812,148,0,433,1,4,6,429,427,100,93,228,205,34,42,10,13,14,20,43,38,,7,,1,,3,,2,,0,,0,,2,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1004,969,785,184,0,387,2,7,5,380,382,80,72,222,192,21,30,13,20,9,11,35,37,,6,,5,,4,,1,,1,,0,,1,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1005,758,622,136,0,488,1,9,6,479,482,133,109,213,178,62,90,22,42,17,23,32,25,,6,,0,,4,,2,,0,,1,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,1006,839,603,236,0,434,1,0,1,434,433,147,115,166,128,41,82,36,67,14,12,30,17,,6,,1,,3,,1,,0,,0,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1007,797,602,195,0,317,2,3,2,314,315,86,74,120,91,49,68,27,44,12,11,20,20,,2,,0,,1,,0,,1,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,1008,619,490,129,0,245,0,3,4,242,241,45,32,114,103,26,40,9,21,19,18,29,19,,1,,4,,2,,0,,0,,0,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1009,783,645,138,0,396,3,8,5,388,391,61,52,207,180,36,65,10,17,23,19,51,38,,5,,2,,5,,4,,0,,2,,1,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1010,642,518,124,0,261,3,5,5,256,256,43,37,144,120,26,41,5,9,13,16,25,19,,4,,4,,4,,2,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1011,930,801,129,0,404,0,10,5,394,399,61,53,250,223,26,41,12,18,5,1,40,39,,6,,4,,5,,4,,2,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,1101,767,632,135,0,398,0,11,8,387,390,78,66,221,199,41,57,13,25,7,10,27,24,,6,,2,,0,,0,,0,,0,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1102,1215,978,237,0,526,1,6,5,520,521,133,117,276,241,48,73,12,15,18,18,33,38,,10,,2,,1,,3,,0,,2,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1103,1171,946,225,0,473,3,23,9,450,464,70,60,243,212,47,78,15,17,23,22,52,47,,11,,3,,2,,3,,0,,6,,2,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1104,758,605,153,0,291,1,4,4,287,287,63,53,147,118,27,46,5,9,16,17,29,28,,6,,3,,4,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1105,1053,876,177,0,505,3,10,13,495,492,85,67,293,255,40,61,17,37,17,14,43,38,,6,,3,,3,,4,,1,,2,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1107,831,690,141,0,422,0,4,4,418,418,97,81,191,148,58,84,20,33,14,17,38,37,,6,,1,,5,,2,,1,,2,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,1108,810,673,137,0,377,0,9,4,368,373,71,64,193,159,50,66,16,15,13,13,25,34,,6,,7,,2,,2,,0,,3,,0,,2,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1109,1146,925,221,0,486,1,10,10,476,476,84,67,266,227,47,79,21,32,21,20,37,30,,11,,3,,3,,1,,0,,0,,0,,2,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1110,886,754,132,0,391,1,6,10,385,381,82,77,215,172,29,51,8,13,17,17,34,35,,3,,4,,5,,0,,0,,1,,1,,1,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1401,970,772,198,0,402,3,5,5,397,397,76,70,192,148,54,80,16,21,16,19,43,43,,4,,2,,2,,1,,2,,4,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1402,1331,1076,255,0,733,0,12,6,721,727,132,114,358,279,107,172,21,35,25,30,78,66,,11,,1,,8,,3,,1,,5,,1,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1403,896,724,172,0,309,2,6,6,303,303,34,24,148,110,35,69,10,14,35,27,41,46,,3,,0,,2,,0,,2,,3,,1,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,1404,952,805,147,0,466,1,8,1,458,465,71,64,236,192,54,87,14,18,27,25,56,46,,8,,7,,4,,1,,3,,5,,0,,0,,4,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1405,879,752,127,0,413,1,5,4,408,409,83,72,207,174,56,82,21,25,16,14,25,20,,7,,3,,2,,1,,2,,3,,0,,0,,1,,2,,1
13.05.2012,Landtagswahl NRW,107,5911000,1406,915,740,175,0,493,4,8,8,485,485,77,64,231,167,85,127,14,31,24,32,54,46,,5,,0,,4,,0,,1,,5,,2,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1407,1196,964,232,0,665,1,12,12,653,653,82,72,319,245,121,167,12,25,48,44,71,65,,8,,4,,7,,1,,3,,10,,2,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1408,972,812,160,0,471,1,11,8,460,463,111,87,218,177,54,87,22,44,16,18,39,37,,8,,0,,1,,1,,0,,1,,1,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1409,715,559,156,0,361,3,3,3,358,358,89,82,191,163,33,50,12,20,9,11,24,23,,4,,0,,2,,1,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1701,422,332,90,0,204,0,4,3,200,201,38,32,98,86,16,24,7,8,11,12,30,26,,4,,3,,4,,1,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1702,821,731,90,0,333,0,6,5,327,328,66,49,159,143,25,35,14,27,15,14,48,37,,11,,7,,0,,0,,0,,3,,0,,0,,1,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,1703,850,739,111,0,346,3,4,5,342,341,74,65,173,140,31,40,12,21,10,14,42,39,,9,,4,,2,,3,,0,,1,,0,,1,,2,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1704,850,746,104,0,301,0,6,4,295,297,62,48,133,113,20,34,10,11,22,25,48,44,,12,,3,,2,,1,,0,,1,,0,,0,,2,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,1705,803,678,125,0,393,0,8,1,385,392,87,73,224,200,21,38,7,15,11,8,35,31,,15,,4,,2,,3,,0,,1,,1,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1706,837,666,171,0,356,0,10,6,346,350,56,46,203,188,23,33,11,14,19,20,34,30,,7,,4,,3,,2,,1,,0,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,1707,803,694,109,0,402,4,7,10,395,392,76,72,230,202,34,47,2,5,18,17,35,35,,4,,6,,4,,0,,0,,0,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,1708,930,807,123,0,412,2,12,3,400,409,68,55,222,196,27,44,11,19,12,15,60,49,,19,,4,,3,,0,,2,,0,,0,,1,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3101,519,449,70,0,270,0,4,2,266,268,32,28,151,145,29,26,16,17,7,7,31,28,,4,,1,,3,,1,,3,,2,,0,,0,,0,,1,,2
13.05.2012,Landtagswahl NRW,107,5911000,3102,1059,919,140,0,461,0,9,10,452,451,78,56,255,236,34,43,6,19,21,12,58,45,,23,,2,,3,,3,,3,,1,,2,,0,,2,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3103,807,741,66,0,340,0,9,13,331,327,67,59,207,181,11,24,6,11,12,10,28,26,,5,,4,,4,,2,,0,,0,,0,,0,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3104,977,865,112,0,410,0,8,9,402,401,57,43,247,227,27,32,15,20,13,15,43,48,,9,,0,,5,,0,,0,,0,,0,,1,,1,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3105,1036,834,202,0,504,1,11,9,493,495,113,86,261,229,42,62,23,33,11,16,43,33,,25,,5,,2,,1,,0,,0,,0,,1,,0,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,3106,1012,816,196,0,470,1,6,3,464,467,95,84,253,239,45,55,17,21,14,11,40,34,,3,,8,,3,,4,,0,,1,,1,,1,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3107,1030,830,200,0,486,0,9,8,477,478,100,87,263,238,44,57,15,24,15,21,40,37,,6,,1,,4,,0,,2,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3108,963,785,178,0,468,1,8,9,460,459,69,64,263,234,51,49,12,20,17,15,48,38,,16,,4,,10,,2,,0,,2,,3,,1,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,3109,1231,1098,133,0,582,0,21,15,561,567,94,88,340,305,37,60,7,8,17,15,66,52,,20,,5,,5,,5,,0,,1,,1,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,3110,762,621,141,0,312,2,6,8,306,304,50,40,176,157,23,32,11,19,10,7,36,34,,5,,2,,3,,2,,1,,0,,0,,0,,1,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,3201,918,776,142,0,457,0,6,11,451,446,73,66,276,243,29,57,15,17,10,11,48,41,,4,,2,,1,,1,,0,,1,,2,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3202,915,793,122,0,481,0,6,6,475,475,83,68,310,273,32,45,8,17,10,14,32,31,,15,,2,,2,,6,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3203,1068,822,246,0,462,1,7,7,455,455,103,89,256,221,33,49,13,25,14,14,36,40,,10,,0,,1,,4,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3204,1004,799,205,0,446,1,4,5,442,441,80,67,248,212,31,51,18,32,17,10,48,45,,11,,1,,3,,3,,2,,4,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3205,822,739,83,0,386,2,10,12,376,374,40,34,223,206,26,31,15,14,22,17,50,43,,9,,6,,3,,2,,1,,2,,0,,1,,3,,2,,0
13.05.2012,Landtagswahl NRW,107,5911000,3206,706,590,116,0,222,0,4,4,218,218,36,28,128,124,9,21,6,5,15,16,24,17,,5,,0,,1,,0,,0,,0,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3207,697,576,121,0,358,0,8,8,350,350,75,64,186,164,39,48,9,13,15,13,26,28,,3,,1,,9,,1,,0,,1,,3,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3208,815,695,120,0,299,0,3,3,296,296,40,33,185,160,20,34,8,9,15,14,28,28,,3,,1,,4,,4,,0,,2,,0,,2,,0,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,3209,456,387,69,0,200,0,4,4,196,196,31,25,112,98,8,9,9,13,15,18,21,21,,6,,2,,3,,0,,0,,1,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3210,833,712,121,0,362,0,8,5,354,357,50,44,243,205,13,31,7,12,5,6,36,26,,11,,7,,6,,3,,0,,2,,0,,0,,1,,2,,1
13.05.2012,Landtagswahl NRW,107,5911000,3211,1095,911,184,0,505,3,12,9,493,496,89,71,279,246,44,68,16,27,10,11,55,48,,10,,9,,3,,0,,1,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3212,688,558,130,0,306,0,9,8,297,298,54,46,176,157,17,28,12,20,14,9,24,22,,6,,1,,4,,3,,0,,1,,0,,1,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3213,803,619,184,0,364,0,4,3,360,361,81,71,215,185,18,31,12,22,10,10,24,18,,15,,1,,3,,3,,0,,1,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3301,876,744,132,0,410,4,10,8,400,402,57,55,215,182,39,52,13,17,15,17,61,61,,4,,3,,3,,5,,1,,0,,0,,1,,0,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3302,1090,931,159,0,448,0,8,8,440,440,60,48,264,232,37,46,12,23,14,21,53,43,,11,,2,,5,,3,,0,,3,,0,,1,,1,,1,,0
13.05.2012,Landtagswahl NRW,107,5911000,3303,1301,1104,197,0,483,0,8,5,475,478,78,59,275,241,37,54,8,20,23,24,54,57,,4,,3,,6,,0,,5,,3,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,107,5911000,3304,576,495,81,0,245,0,3,2,242,243,42,39,128,100,23,41,7,13,11,7,31,24,,5,,5,,3,,4,,0,,2,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,107,5911000,3305,820,685,135,0,358,1,10,10,348,348,55,48,186,165,31,40,13,18,26,26,37,36,,3,,2,,6,,0,,1,,2,,0,,0,,0,,0,,1
13.05.2012,Landtagswahl NRW,107,5911000,3306,881,734,147,0,366,2,5,3,361,363,58,53,206,187,35,52,10,15,13,12,39,33,,1,,1,,6,,1,,0,,0,,0,,0,,0,,0,,2
13.05.2012,Landtagswahl NRW,107,5911000,3307,775,674,101,0,376,0,18,13,358,363,74,72,222,201,19,27,8,9,7,9,28,24,,9,,3,,2,,2,,1,,1,,0,,0,,1,,1,,1
