wahltermin_datum,wahl,Wahlkreis,AGS,Bez-Nr,Wahlberechtigte,Ohne Sperrvermerk,Mit Sperrvermerk,Nicht im W�hlerverzeichnis,Waehler,DavonMitWahlschein,UngueltigeErststimmen,UngueltigeZweitstimmen,GueltigeErststimmen,GueltigeZweitstimmen,CDU,CDU,SPD,SPD,GR�NE,GR�NE,FDP,FDP,DIE LINKE,DIE LINKE,PIRATEN,PIRATEN,pro NRW,pro NRW,NPD,NPD,Tierschutzpartei,Tierschutzpartei,FAMILIE,FAMILIE,BIG,BIG,Die PARTEI,Die PARTEI,�DP,�DP,FBI/Freie W�hler,FBI/Freie W�hler,AUF,AUF,FREIE W�HLER,FREIE W�HLER,Partei der Vernunft,Partei der Vernunft
13.05.2012,Landtagswahl NRW,109,5911000,1201,1086,811,275,0,551,2,13,5,538,546,126,95,234,194,87,116,30,56,21,25,40,41,,6,,3,,1,,0,,4,,2,,1,,0,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,1202,1035,907,128,0,491,1,7,7,484,484,68,52,235,182,87,121,19,21,26,26,49,59,,5,,2,,4,,0,,4,,4,,1,,1,,0,,2,,0
13.05.2012,Landtagswahl NRW,109,5911000,1203,1109,909,200,0,315,1,12,6,303,309,48,34,113,99,67,71,2,15,25,30,48,42,,3,,1,,0,,1,,2,,9,,0,,0,,1,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,1204,812,679,133,0,333,0,4,2,329,331,56,43,146,136,54,48,13,14,19,25,41,41,,2,,6,,3,,1,,8,,4,,0,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1205,788,673,115,0,317,0,6,8,311,309,49,43,127,118,47,43,15,17,24,21,49,52,,6,,1,,2,,2,,2,,0,,0,,0,,1,,0,,1
13.05.2012,Landtagswahl NRW,109,5911000,1206,917,765,152,0,436,1,9,6,427,430,46,32,257,213,58,86,5,12,16,21,45,44,,4,,3,,6,,2,,4,,1,,2,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1207,829,685,144,0,263,0,9,5,254,258,42,33,109,83,37,54,5,8,30,26,31,39,,3,,1,,0,,2,,4,,4,,1,,0,,0,,0,,0
13.05.2012,Landtagswahl NRW,109,5911000,1209,684,554,130,0,270,0,7,6,263,264,34,25,108,107,47,67,8,8,30,16,36,25,,5,,2,,3,,1,,1,,2,,0,,0,,0,,1,,1
13.05.2012,Landtagswahl NRW,109,5911000,1210,787,677,110,0,317,2,10,7,307,310,49,39,161,135,47,56,5,7,17,26,28,33,,7,,0,,5,,0,,1,,0,,0,,0,,0,,1,,0
13.05.2012,Landtagswahl NRW,109,5911000,1211,946,831,115,0,428,0,7,6,421,422,55,34,216,164,57,81,9,14,27,34,57,66,,10,,6,,1,,3,,4,,1,,1,,0,,0,,2,,1
