Datum,Personenkraftwagen,Lastkraftwagen,Busse,Kraftraeder,Zugmaschinen,Anhaenger,Sonstige,WAT-Kennzeichen,Elektrofahrzeuge,Elektro-Kennzeichen,Dieselfahrzeuge,Gesamt
2013-01-31,172461,8694,150,14798,836,12206,1477,2652,49,n/a,n/a,210622
2013-02-28,172493,8660,150,14814,831,12207,1477,3025,52,n/a,n/a,210632
2013-03-31,173027,8645,151,14883,837,12247,1479,3419,53,n/a,n/a,211269
2013-04-30,173098,8723,151,14991,836,12271,1491,3762,54,n/a,n/a,211561
2013-05-31,173336,8748,151,15084,833,12287,1492,4115,55,n/a,n/a,211931
2013-06-30,173823,8805,151,15125,835,12311,1490,4737,57,n/a,n/a,212540
2013-07-31,173678,8951,151,15173,827,12343,1497,4718,60,n/a,n/a,212620
2013-08-31,173651,8980,151,15148,820,12349,1516,4989,59,n/a,n/a,212615
2013-09-30,174105,9005,150,15089,811,12382,1515,5263,60,n/a,n/a,213057
2013-10-31,174055,9048,149,14996,804,12376,1502,5458,61,n/a,n/a,212930
2013-11-30,174057,9050,149,14913,805,12358,1481,5661,66,n/a,n/a,212813
2013-12-31,173939,9052,149,14843,803,12339,1472,5765,66,n/a,n/a,212597
2014-01-31,173857,9064,147,14791,800,12345,1365,6033,69,n/a,n/a,212369
2014-02-28,174085,8718,147,14827,798,12350,1367,6211,70,n/a,n/a,212292
2014-03-31,174634,8509,149,14948,796,12391,1371,6487,75,n/a,n/a,212798
2014-04-30,174836,9415,148,15042,793,12438,1398,6764,77,n/a,n/a,214070
2014-05-31,175044,9475,173,15100,789,12459,1404,6985,78,n/a,n/a,214444
2014-06-30,175463,9488,172,15106,795,12481,1410,7178,82,n/a,n/a,214915
2014-07-31,175222,9475,163,15133,796,12520,1421,7477,85,n/a,n/a,214730
2014-08-31,175467,9535,162,15140,795,12548,1427,7708,86,n/a,n/a,215074
2014-09-30,175679,9543,163,15118,797,12596,1413,7863,90,n/a,n/a,215309
2014-10-31,175918,9613,163,15061,796,12634,1402,8040,94,n/a,n/a,215587
2014-11-30,176113,9703,163,14997,793,12652,1371,8207,98,n/a,n/a,215792
2014-12-31,176115,9804,160,14950,806,12648,1363,8358,98,n/a,n/a,215846
2015-01-31,176008,9904,160,14932,802,12657,1360,8538,99,n/a,n/a,215823
2015-02-28,176078,9948,159,14937,804,12683,1362,8738,102,n/a,n/a,215971
2015-03-31,176219,10066,160,15061,802,12698,1369,8907,104,n/a,n/a,216375
2015-04-30,176243,10109,162,15129,801,12770,1379,9221,105,n/a,n/a,216593
2015-05-31,176473,10152,162,15191,810,12847,1378,9422,110,n/a,n/a,217013
2015-06-30,176546,10237,160,15252,803,12911,1383,9584,112,n/a,n/a,217292
2015-07-31,176779,10274,160,15323,796,12912,1386,9788,118,n/a,n/a,217630
2015-08-31,176491,10283,161,15317,788,12907,1387,9950,121,n/a,n/a,217334
2015-09-30,176465,10352,160,15312,791,12893,1388,10149,121,n/a,n/a,217361
2015-10-31,176616,10466,159,15244,794,12894,1376,10311,124,n/a,n/a,217549
2015-11-30,176762,10528,160,15172,790,12916,1372,10426,128,n/a,n/a,217700
2015-12-31,176911,10607,152,15114,786,12915,1369,10483,130,n/a,n/a,217854
2016-01-31,176660,10626,150,15084,774,12939,1359,10592,136,n/a,n/a,217592
2016-02-29,177147,10752,150,15105,774,12958,1360,10726,138,n/a,n/a,218246
2016-03-31,178548,10855,151,15217,778,13003,1363,10911,138,n/a,n/a,219915
2016-04-30,179542,10929,153,15327,783,13068,1377,11082,137,n/a,n/a,221179
2016-05-31,180181,11013,152,15391,784,13130,1388,11225,138,n/a,n/a,222039
2016-06-30,181289,11088,153,15443,791,13194,1398,11383,139,n/a,n/a,223356
2016-07-31,182164,11210,154,15471,794,13230,1408,11487,143,n/a,n/a,224431
2016-08-31,183252,11413,153,15478,795,13248,1412,11664,150,n/a,n/a,225751
2016-09-30,184318,11560,152,15449,785,13286,1419,11794,148,n/a,n/a,226969
2016-10-31,184896,11682,153,15418,787,13286,1402,11890,151,n/a,n/a,227624
2016-11-30,185747,11814,153,15336,788,13288,1392,11974,156,n/a,n/a,228518
2016-12-31,186779,11901,154,15290,785,13279,1377,12035,162,n/a,n/a,229565
2017-01-31,187360,12032,153,15261,787,13340,1374,12134,164,63,65923,230307
2017-02-28,188374,12159,152,15272,778,13356,1377,12222,175,69,66767,231468
2017-03-31,189072,12336,153,15379,785,13430,1378,12358,179,107,67590,232533
2017-04-30,189554,12526,154,15453,786,13524,1396,12469,181,136,67581,233393
2017-05-31,190324,12573,156,15482,792,13592,1417,12624,187,195,67427,234336
