Datum,Personenkraftwagen,Lastkraftwagen,Busse,Kraftraeder,Zugmaschinen,Anhaenger,Sonstige,WAT-Kennzeichen,Elektrofahrzeuge,Elektro-Kennzeichen,Dieselfahrzeuge,Gesamt
31.01.2013,172.461,8.694,150,14.798,836,12.206,1.477,2.652,49,n/a,n/a,210.622
28.02.2013,172.493,8.660,150,14.814,831,12.207,1.477,3.025,52,n/a,n/a,210.632
31.03.2013,173.027,8.645,151,14.883,837,12.247,1.479,3.419,53,n/a,n/a,211.269
30.04.2013,173.098,8.723,151,14.991,836,12.271,1.491,3.762,54,n/a,n/a,211.561
31.05.2013,173.336,8.748,151,15.084,833,12.287,1.492,4.115,55,n/a,n/a,211.931
30.06.2013,173.823,8.805,151,15.125,835,12.311,1.490,4.737,57,n/a,n/a,212.540
31.07.2013,173.678,8.951,151,15.173,827,12.343,1.497,4.718,60,n/a,n/a,212.620
31.08.2013,173.651,8.980,151,15.148,820,12.349,1.516,4.989,59,n/a,n/a,212.615
30.09.2013,174.105,9.005,150,15.089,811,12.382,1.515,5.263,60,n/a,n/a,213.057
31.10.2013,174.055,9.048,149,14.996,804,12.376,1.502,5.458,61,n/a,n/a,212.930
30.11.2013,174.057,9.050,149,14.913,805,12.358,1.481,5.661,66,n/a,n/a,212.813
31.12.2013,173.939,9.052,149,14.843,803,12.339,1.472,5.765,66,n/a,n/a,212.597
31.01.2014,173.857,9.064,147,14.791,800,12.345,1.365,6.033,69,n/a,n/a,212.369
28.02.2014,174.085,8.718,147,14.827,798,12.350,1.367,6.211,70,n/a,n/a,212.292
31.03.2014,174.634,8.509,149,14.948,796,12.391,1.371,6.487,75,n/a,n/a,212.798
30.04.2014,174.836,9.415,148,15.042,793,12.438,1.398,6.764,77,n/a,n/a,214.070
31.05.2014,175.044,9.475,173,15.100,789,12.459,1.404,6.985,78,n/a,n/a,214.444
30.06.2014,175.463,9.488,172,15.106,795,12.481,1.410,7.178,82,n/a,n/a,214.915
31.07.2014,175.222,9.475,163,15.133,796,12.520,1.421,7.477,85,n/a,n/a,214.730
31.08.2014,175.467,9.535,162,15.140,795,12.548,1.427,7.708,86,n/a,n/a,215.074
30.09.2014,175.679,9.543,163,15.118,797,12.596,1.413,7.863,90,n/a,n/a,215.309
31.10.2014,175.918,9.613,163,15.061,796,12.634,1.402,8.040,94,n/a,n/a,215.587
30.11.2014,176.113,9.703,163,14.997,793,12.652,1.371,8.207,98,n/a,n/a,215.792
31.12.2014,176.115,9.804,160,14.950,806,12.648,1.363,8.358,98,n/a,n/a,215.846
31.01.2015,176.008,9.904,160,14.932,802,12.657,1.360,8.538,99,n/a,n/a,215.823
28.02.2015,176.078,9.948,159,14.937,804,12.683,1.362,8.738,102,n/a,n/a,215.971
31.03.2015,176.219,10.066,160,15.061,802,12.698,1.369,8.907,104,n/a,n/a,216.375
30.04.2015,176.243,10.109,162,15.129,801,12.770,1.379,9.221,105,n/a,n/a,216.593
31.05.2015,176.473,10.152,162,15.191,810,12.847,1.378,9.422,110,n/a,n/a,217.013
30.06.2015,176.546,10.237,160,15.252,803,12.911,1.383,9.584,112,n/a,n/a,217.292
31.07.2015,176.779,10.274,160,15.323,796,12.912,1.386,9.788,118,n/a,n/a,217.630
31.08.2015,176.491,10.283,161,15.317,788,12.907,1.387,9.950,121,n/a,n/a,217.334
30.09.2015,176.465,10.352,160,15.312,791,12.893,1.388,10.149,121,n/a,n/a,217.361
31.10.2015,176.616,10.466,159,15.244,794,12.894,1.376,10.311,124,n/a,n/a,217.549
30.11.2015,176.762,10.528,160,15.172,790,12.916,1.372,10.426,128,n/a,n/a,217.700
31.12.2015,176.911,10.607,152,15.114,786,12.915,1.369,10.483,130,n/a,n/a,217.854
31.01.2016,176.660,10.626,150,15.084,774,12.939,1.359,10.592,136,n/a,n/a,217.592
29.02.2016,177.147,10.752,150,15.105,774,12.958,1.360,10.726,138,n/a,n/a,218.246
31.03.2016,178.548,10.855,151,15.217,778,13.003,1.363,10.911,138,n/a,n/a,219.915
30.04.2016,179.542,10.929,153,15.327,783,13.068,1.377,11.082,137,n/a,n/a,221.179
31.05.2016,180.181,11.013,152,15.391,784,13.130,1.388,11.225,138,n/a,n/a,222.039
30.06.2016,181.289,11.088,153,15.443,791,13.194,1.398,11.383,139,n/a,n/a,223.356
31.07.2016,182.164,11.210,154,15.471,794,13.230,1.408,11.487,143,n/a,n/a,224.431
31.08.2016,183.252,11.413,153,15.478,795,13.248,1.412,11.664,150,n/a,n/a,225.751
30.09.2016,184.318,11.560,152,15.449,785,13.286,1.419,11.794,148,n/a,n/a,226.969
31.10.2016,184.896,11.682,153,15.418,787,13.286,1.402,11.890,151,n/a,n/a,227.624
30.11.2016,185.747,11.814,153,15.336,788,13.288,1.392,11.974,156,n/a,n/a,228.518
31.12.2016,186.779,11.901,154,15.290,785,13.279,1.377,12.035,162,n/a,n/a,229.565
31.01.2017,187.360,12.032,153,15.261,787,13.340,1.374,12.134,164,63,65.923,230.307
28.02.2017,188.374,12.159,152,15.272,778,13.356,1.377,12.222,175,69,66.767,231.468
31.03.2017,189.072,12.336,153,15.379,785,13.430,1.378,12.358,179,107,67.590,232.533
30.04.2017,189.554,12.526,154,15.453,786,13.524,1.396,12.469,181,136,67.581,233.393
31.05.2017,190.324,12.573,156,15.482,792,13.592,1.417,12.624,187,195,67.427,234.336
30.06.2017,191.252,12.706,156,15.564,797,13.650,1.423,12.742,206,290,67.566,235.548
31.07.2017,191.438,12.848,156,15.610,796,13.707,1.419,12.891,224,375,67.807,235.974
31.08.2017,191.837,12.917,156,15.602,794,13.736,1.426,12.962,230,394,67.686,236.468
30.09.2017,192.158,13.003,156,15.584,791,13.763,1.419,13.057,234,406,67.502,236.874
31.10.2017,192.688,13.004,155,15.543,795,13.778,1.412,13.138,239,419,67.292,237.375
30.11.2017,192.798,13.139,156,15.473,792,13.786,1.405,13.138,239,426,67.154,237.549
31.12.2017,192.721,13.217,155,15.403,792,13.787,1.401,13.244,257,439,66.701,237.476
31.01.2018,192.820,13.332,155,15.375,793,13.808,1.410,13.326,277,461,66.580,237.693
28.02.2018,193.175,13.459,155,15.349,794,13.811,1.411,13.391,282,470,66.437,238.154
31.03.2018,193.999,13.551,156,15.433,797,13.920,1.407,13.485,299,534,66.101,239.263
30.04.2018,194.204,13.563,161,15.531,800,13.977,1.414,13.576,305,535,65.826,239.650
