"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"611755";"Ersatzstandort Paul-Dohrmann-Schule";"Lenneplatz 21";"44807 Bochum";"Förderschulen";"Bildung";"Schulcontainer während der Renovierung des eigentlichen Schulstandorts.";"www.sfe.bobi.net";"3";"Örtlich";"1";"2023-07-18";"2023-09-08";"7";"Bildung/Förderschulen";"378173";"5706591";"2023-10-17"
"611733";"Alice-Salomon-Berufskolleg für Ernährung, Erziehung und Gesundheit Teilstandort";"Von-der-Recke-Str. 53";"44809 Bochum";"Berufskollegs";"Bildung";"Das Alice-Salomon-Berufskolleg qualifiziert in den Berufsfeldern Ernährung und Hauswirtschaft, Sozial- und Gesundheitswesen sowie Körperpflege.";"";"3";"Örtlich";"1";"2023-07-04";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"374201";"5705976";"2023-10-17"
"611146";"Web-Individualschule";"Gerard-Mortier-Platz 4";"44793 Bochum";"Sonstige Spezialschulen";"Bildung";"Fernschule";"www.web-individualschule.de";"1";"Überregional";"1";"2023-03-24";"2023-08-29";"203673";"Bildung/Spezialschulen/Sonstige Spezialschulen";"375050";"5704682";"2023-10-17"
"610976";"Bezirksmusikschule Bochum-Ost";"Alte Bahnhofstr. 12";"44892 Bochum";"Musikschulen";"Bildung";"";"www.bochum.de/musikschule";"3";"Örtlich";"1";"2023-02-02";"2023-02-24";"59";"Bildung/Spezialschulen/Musikschulen";"383499";"5703751";"2023-10-17"
"610168";"Zess Wissenschafts- und Gründerquartier";"Hans-Dobbertin-Str. 8";"44803 Bochum";"Wissenschaft und Forschung";"Bildung";"Wissenschafts- und Gründerquartier der Ruhr-Universität Bochum";"www.forschung.ruhr-uni-bochum.de/de/forschungszentrum-fuer-das-engineering-smarter-produkt-service-systeme-zess";"3";"Örtlich";"1";"2022-09-26";"2022-09-26";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"379663";"5703450";"2023-10-17"
"609656";"Bezirksmusikschule Bochum-Querenburg, Standort 3";"Querenburger Höhe 270";"44801 Bochum";"Musikschulen";"Bildung";"Bezirksmusikschule Bochum-Querenburg in den Räumlichkeiten der Bezirksverwaltungsstelle Bochum-Süd";"www.bochum.de/musikschule";"3";"Örtlich";"1";"2022-07-27";"2022-07-27";"59";"Bildung/Spezialschulen/Musikschulen";"378947";"5701079";"2023-10-17"
"609655";"Bezirksmusikschule Bochum-Gerthe, Standort 2";"Hegelstr. 6";"44805 Bochum";"Musikschulen";"Bildung";"Bezirksmusikschule Bochum-Gerthe in den Räumlichkeiten der Else-Hirsch-Schule";"www.bochum.de/musikschule";"3";"Örtlich";"1";"2022-07-27";"";"59";"Bildung/Spezialschulen/Musikschulen";"380431";"5708909";"2023-10-17"
"609654";"Bezirksmusikschule Bochum-Nord, Standort 2";"Gretchenstr. 5";"44791 Bochum";"Musikschulen";"Bildung";"Bezirksmusikschule Bochum-Nord in den Räumlichkeiten der Heinrich-Böll-Gesamtschule";"www.bochum.de/musikschule";"3";"Örtlich";"1";"2022-07-27";"2022-07-27";"59";"Bildung/Spezialschulen/Musikschulen";"376152";"5706616";"2023-10-17"
"609282";"Makerspace/FabLab (Ruhr-Universität Bochum)";"Suttner-Nobel-Allee 4";"44803 Bochum";"Wissenschaft und Forschung";"Bildung";"Transfer- und Gründerkonzept der Ruhr-Universität ,begleitet Studierende auf ihrem Weg zur Unternehmensgründung.";"www.worldfactory.de/fokusthemen/makerspace";"3";"Örtlich";"1";"2022-05-31";"2022-09-09";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"379131";"5703044";"2023-10-17"
"607987";"Deutsches Anwaltsinstitut e.V. (DAI)";"Gerard-Mortier-Platz 3";"44793 Bochum";"Weiterbildungseinrichtungen";"Bildung";"Geschäftsstelle und Ausbildungszentrum des Deutschen Anwaltsinstituts.";"www.anwaltsinstitut.de";"3";"Örtlich";"1";"2021-11-23";"";"254";"Bildung/Weiterbildungseinrichtungen";"375010";"5704706";"2023-10-17"
"607902";"Zentrum für schulpraktische Lehrerausbildung Bochum";"Lennershofstr. 50";"44801 Bochum";"Hochschulen";"Bildung";"";"www.zfsl.nrw.de/ZfsL/regional/RB_Arnsberg/BOC/";"3";"Örtlich";"1";"2021-11-12";"2022-09-09";"56";"Bildung/Hochschulen/Hochschulen";"379747";"5701084";"2023-10-17"
"497751";"Außenstelle Deutsches Rotes Kreuz Bochum";"Karl-Lange-Str. 53";"44791 Bochum";"Schulen im Gesundheitsbereich";"Bildung";"Erste-Hilfe-Ausbildung und Beratungsstelle für Migration und Integration";"www.drk-bochum.de";"3";"Örtlich";"0";"2020-09-09";"2022-09-09";"54";"Bildung/Berufsschulen/Schulen im Gesundheitsbereich";"378020";"5705482";"2023-10-17"
"497728";"Lehrgarten für Kinder";"Am Hausacker";"44807 Bochum";"Natur- Wald- Biologieschulen";"Bildung";"Betrieben von Kleingartenverein Riemke und Falken Bochum e.V.";"";"3";"Örtlich";"1";"2020-09-09";"2020-09-09";"498";"Bildung/Spezialschulen/Natur- Wald- Biologieschulen";"376268";"5707990";"2023-10-17"
"497297";"Rupert-Neudeck-Schule";"Dr.-C.-Otto-Str. 88";"44879 Bochum";"Realschulen";"Bildung";"Sekundarstufe I im Schulzentum Südwest. Ganztagschule";"www.rupert-neudeck-schule.de";"3";"Örtlich";"1";"2020-08-04";"2023-08-22";"10";"Bildung/Allgemeinbildende Schulen/Realschulen";"371426";"5698849";"2023-10-17"
"436941";"Fachseminar für Altenpflege AWO";"Herzogstr. 36";"44807 Bochum";"Altenpflegeschulen";"Bildung";"";"";"3";"Örtlich";"1";"2019-06-03";"2019-06-03";"23681";"Bildung/Berufsschulen/Altenpflegeschulen";"374829";"5708244";"2023-10-17"
"436390";"Proteinforschungszentrum ProDi";"Gesundheitscampus 4";"44801 Bochum";"Wissenschaft und Forschung";"Bildung";"";"www.bph.ruhr-uni-bochum.de/link_prodi.htm";"3";"Örtlich";"1";"2019-03-29";"2020-03-31";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"378194";"5701036";"2023-10-17"
"386073";"Interdiszipinäres Institut für Forschung und Lehre";"Gudrunstr. 56";"44791 Bochum";"Wissenschaft und Forschung";"Bildung";"Interdisziplinäres Institut für Forschung und Lehre (IFL) der Ruhr-Universität Bochum";"www.medizin.ruhr-uni-bochum.de/dekanat/ifl/index.html.de";"3";"Örtlich";"1";"2018-06-13";"2019-11-15";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"377083";"5706238";"2023-10-17"
"385287";"quaz.ruhr";"Somborner Str. 84";"44894 Bochum";"Weiterbildungseinrichtungen";"Bildung";"Sprach- und Qualifizierungszentrum für Flüchtlinge";"www.gewerkstatt.de/de/quazruhr";"3";"Örtlich";"1";"2018-04-10";"2021-10-28";"254";"Bildung/Weiterbildungseinrichtungen";"384136";"5705109";"2023-10-17"
"358290";"Rhythmische Sportgymnastik (RSG) im TV Bochum-Brenschede";"Glücksburger Str. 25";"44799 Bochum";"Sportschulen";"Bildung";"Der Verein ist Stützpunkt für Talentsichtung/Talentförderung"",";"www.tv-bochum-brenschede-rsg.de";"3";"Örtlich";"1";"2017-09-26";"2019-06-07";"271";"Bildung/Spezialschulen/Sportschulen";"377337";"5701252";"2023-10-17"
"358027";"Ausbildungsinstitut Lehrer für Pflegeberufe und Gesundheitsfachberufe";"Alsenstr. 19 a";"44795 Bochum";"Schulen im sozialen Bereich";"Bildung";"Berufsfortbildungswerk des DGB";"";"3";"Örtlich";"1";"2017-09-04";"2023-09-12";"57";"Bildung/Berufsschulen/Schulen im sozialen Bereich";"377074";"5704246";"2023-10-17"
"358006";"Matthias-Claudius-Berufskolleg";"Weitmarer Str. 115 b";"44795 Bochum";"Berufskollegs";"Bildung";"Privates evangelisches Berufskolleg der Sekundarstufe II, Fachoberschule für Gesundheit und Soziales.";"www.mcs-bochum.de";"3";"Örtlich";"1";"2017-08-28";"2023-09-08";"151";"Bildung/Berufsschulen/Berufskollegs";"374144";"5702076";"2023-10-17"
"349669";"ZTG Zentrum für Telematik und Telemedizin GmbH";"Universitätsstr. 142";"44799 Bochum";"Wissenschaft und Forschung";"Bildung";"Kompetenzzentrum für Telematik- und Telemedizinanwendungen.";"www.ztg-nrw.de";"3";"Örtlich";"1";"2017-06-06";"2019-06-07";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"378933";"5700693";"2023-10-17"
"349656";"CAIS - Center for Advanced Internet Studies";"Universitätsstr. 104";"44799 Bochum";"Wissenschaft und Forschung";"Bildung";"Forschungszentrum für Internetstudien, Kooperation mehrerer Universitäten";"www.cais.nrw";"3";"Örtlich";"1";"2017-06-06";"2019-06-07";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"377300";"5702660";"2023-10-17"
"349636";"World Factory (Ruhr-Universität)";"Frenkingstr. 14";"44894 Bochum";"Wissenschaft und Forschung";"Bildung";"Transfer- und Gründerkonzept der Ruhr-Universität ,begleitet Studierende auf ihrem Weg zur Unternehmensgründung.";"www.ruhr-uni-bochum.de/worldfactory";"3";"Örtlich";"1";"2017-06-02";"2022-05-31";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"381622";"5704284";"2023-10-17"
"349603";"Centrum für seltene Erkrankungen Ruhr (CeSER)";"Alexandrinenstr. 5";"44791 Bochum";"Wissenschaft und Forschung";"Bildung";"Zentrum zur Erforschung und Behandlung seltener Erkrankungen";"www.se-atlas.de";"1";"Überregional";"0";"2017-06-02";"2021-11-29";"299";"Bildung/Hochschulen/Wissenschaft und Forschung";"377201";"5705844";"2023-10-17"
"337414";"Das fliegende Atelier e.V.";"Joachimstr. 14";"44789 Bochum";"Kunstschulen";"Bildung";"";"www.das-fliegende-atelier.de";"3";"Örtlich";"1";"2017-03-03";"2022-09-08";"343";"Bildung/Spezialschulen/Kunstschulen";"376502";"5703727";"2023-10-17"
"335687";"Akademisches Förderungswerk KULTUR";"Sumperkamp 9 - 15";"44801 Bochum";"Studentenwerke";"Bildung";"18 Jahren+";"www.akafoe.de";"3";"Örtlich";"1";"2017-02-09";"2017-02-09";"30674";"Bildung/Hochschulen/Studentenwerke";"379189";"5701170";"2023-10-17"
"329324";"X-Vision Ruhr";"Steinstr. 5";"44866 Bochum";"Musikschulen";"Bildung";"Musik-Akademie";"www.xvisionruhr.de";"3";"Örtlich";"1";"2017-01-19";"2022-08-05";"59";"Bildung/Spezialschulen/Musikschulen";"370849";"5704799";"2023-10-17"
"321094";"IbKK- Kunstzentrum";"Lohrheidestr. 57";"44866 Bochum";"Kunstschulen";"Bildung";"Institut für Ausbildung in bildender Kunst und Kunsttherapie";"www.ibkk-kunstzentrum.de";"3";"Örtlich";"1";"2016-11-24";"2019-06-07";"343";"Bildung/Spezialschulen/Kunstschulen";"369873";"5705446";"2023-10-17"
"319499";"Familienforum Ruhrgebiet";"Alexandrinenstr. 5";"44791 Bochum";"Weiterbildungseinrichtungen";"Bildung";"Weiterbildung für Familie und Eltern";"www.familienforum-ruhrgebiet.de";"3";"Örtlich";"1";"2016-11-24";"2018-11-07";"254";"Bildung/Weiterbildungseinrichtungen";"377197";"5705849";"2023-10-17"
"318977";"iba Internationale Berufsakademie";"Universitätsstr. 125";"44789 Bochum";"Private Fachhochschulen";"Bildung";"Studiengang Betriebswirtschaft";"www.iba-bochum.com";"3";"Örtlich";"1";"2016-11-22";"2018-11-08";"184528";"Bildung/Hochschulen/Fachhochschulen/Private Fachhochschulen";"376878";"5703521";"2023-10-17"
"318973";"FOM Hochschulzentrum Bochum";"Universitätsstr. 142";"44799 Bochum";"Private Fachhochschulen";"Bildung";"Hochschule für Berufstätige";"www.fom.de/hochschulzentren/studium-in-bochum.html";"3";"Örtlich";"1";"2016-11-22";"2018-11-16";"184528";"Bildung/Hochschulen/Fachhochschulen/Private Fachhochschulen";"378913";"5700730";"2023-10-17"
"318882";"isits AG International School of IT Security";"Lise-Meitner-Allee 4";"44801 Bochum";"Fernuniversität";"Bildung";"Fern-Uni für Informatik";"www.is-its.org";"3";"Örtlich";"1";"2016-11-16";"2018-11-12";"281";"Bildung/Hochschulen/Fernuniversität";"380292";"5701373";"2023-10-17"
"301767";"Schule für Physiotherapie";"Burgstr. 15";"44867 Bochum";"Schulen im Gesundheitsbereich";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe";"www.maxq.net/bochum/schule-fuer-physiotherapie";"3";"Örtlich";"1";"2016-10-17";"2020-05-20";"54";"Bildung/Berufsschulen/Schulen im Gesundheitsbereich";"369860";"5703537";"2023-10-17"
"301767";"Schule für Physiotherapie";"Burgstr. 15";"44867 Bochum";"Weiterbildungseinrichtungen";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe";"www.maxq.net/bochum/schule-fuer-physiotherapie";"3";"Örtlich";"0";"2016-10-17";"2020-05-20";"254";"Bildung/Weiterbildungseinrichtungen";"369860";"5703537";"2023-10-17"
"301758";"Fachseminar für Altenpflege Berufsfortbildungswerk des DGB";"Burgstr. 15";"44867 Bochum";"Altenpflegeschulen";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe Bochum";"www.maxq-nrw.de";"3";"Örtlich";"1";"2016-10-17";"2023-09-12";"23681";"Bildung/Berufsschulen/Altenpflegeschulen";"369857";"5703542";"2023-10-17"
"301758";"Fachseminar für Altenpflege Berufsfortbildungswerk des DGB";"Burgstr. 15";"44867 Bochum";"Weiterbildungseinrichtungen";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe Bochum";"www.maxq-nrw.de";"3";"Örtlich";"0";"2016-10-17";"2023-09-12";"254";"Bildung/Weiterbildungseinrichtungen";"369857";"5703542";"2023-10-17"
"301758";"Fachseminar für Altenpflege Berufsfortbildungswerk des DGB";"Burgstr. 15";"44867 Bochum";"Schulen im sozialen Bereich";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe Bochum";"www.maxq-nrw.de";"3";"Örtlich";"0";"2016-10-17";"2023-09-12";"57";"Bildung/Berufsschulen/Schulen im sozialen Bereich";"369857";"5703542";"2023-10-17"
"301752";"Schule für Ergotherapie";"Burgstr. 15";"44867 Bochum";"Schulen im Gesundheitsbereich";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe";"www.maxq.net/bochum/schule-fuer-ergotherapie";"3";"Örtlich";"1";"2016-10-17";"2016-10-17";"54";"Bildung/Berufsschulen/Schulen im Gesundheitsbereich";"369851";"5703538";"2023-10-17"
"301752";"Schule für Ergotherapie";"Burgstr. 15";"44867 Bochum";"Weiterbildungseinrichtungen";"Bildung";"maxQ. NRW. Zentrum für Gesundheitsberufe";"www.maxq.net/bochum/schule-fuer-ergotherapie";"3";"Örtlich";"0";"2016-10-17";"2016-10-17";"254";"Bildung/Weiterbildungseinrichtungen";"369851";"5703538";"2023-10-17"
"301447";"Carolinenschule Bochum (Gymnasium)";"Springorumallee 1";"44795 Bochum";"Private Ersatzschulen";"Bildung";"Die Carolinenschule Bochum in freier Trägerschaft der Schul- und Bildungswerkstatt GmbH ist eine staatliche anerkannte Gesamtschule. Sehundarstufe I";"www.carolinenschule.de";"3";"Örtlich";"1";"2016-09-28";"2023-09-12";"58";"Bildung/Privatschulen/Private Ersatzschulen";"375612";"5701915";"2023-10-17"
"301440";"Ferdinand-Krüger-Schule Städtische Schule für Kranke Teilstandort";"Bürkle de la Camp-Platz 1";"44789 Bochum";"Förderschulen";"Bildung";"Städtische Schule für Kranke. Teilstandort";"www.ferdinand-krueger-schule.de";"3";"Örtlich";"1";"2016-09-28";"2020-08-05";"7";"Bildung/Förderschulen";"375786";"5703513";"2023-10-17"
"296902";"Alice-Salomon-Berufskolleg für Ernährung, Erziehung ung Gesundheit Teilstandort";"Fahrendeller Str. 25";"44787 Bochum";"Berufskollegs";"Bildung";"Das Alice-Salomon-Berufskolleg qualifiziert in den Berufsfeldern Ernährung und Hauswirtschaft, Sozial- und Gesundheitswesen sowie Körperpflege.";"www.alice-salomon-berufskolleg.de";"3";"Örtlich";"1";"2016-02-05";"2023-08-22";"151";"Bildung/Berufsschulen/Berufskollegs";"375676";"5705501";"2023-10-17"
"295903";"Singschule Bochum (ev.Lutherkirche)";"Klinikstr. 20";"44791 Bochum";"Musikschulen";"Bildung";"";"kg-bochum.ekvw.de/";"3";"Örtlich";"1";"2016-01-27";"2022-09-08";"59";"Bildung/Spezialschulen/Musikschulen";"377038";"5705570";"2023-10-17"
"295890";"Kinder- und Jugendzirkus Ratz-Fatz (Goethe-Schule)";"Goetheplatz 1";"44791 Bochum";"Sonstige Spezialschulen";"Bildung";"";"www.zirkus-ratzfatz.de/termine";"3";"Örtlich";"1";"2016-01-27";"2022-09-08";"203673";"Bildung/Spezialschulen/Sonstige Spezialschulen";"376411";"5705428";"2023-10-17"
"276534";"TheaterTotal";"Am Eickhoffpark 7";"44789 Bochum";"Sonstige Spezialschulen";"Bildung";"TheaterTotal gemeinnützige GmbH ist Mitglied im Paritätischen Wohlfahrtsverband.";"www.theatertotal.de";"2";"Regional";"0";"2015-06-16";"2022-09-16";"203673";"Bildung/Spezialschulen/Sonstige Spezialschulen";"376292";"5702548";"2023-10-17"
"276018";"Hildegardisschule (Teilstandort), ehem. Max-Greve-Schule";"Max-Greve-Str. 7";"44791 Bochum";"Gymnasien";"Bildung";"";"www.hildegardis-bochum.de";"3";"Örtlich";"1";"2015-05-19";"2022-09-08";"33";"Bildung/Allgemeinbildende Schulen/Gymnasien";"377107";"5705330";"2023-10-17"
"275962";"IBKN - Institut für Bildung, Kultur und Nachhaltige Entwicklung";"Am Hochschulcampus 1";"44801 Bochum";"Hochschulen";"Bildung";"Das IBKN ergänzt die Fachausbildung in den Ingenieur- und Wirtschaftswissenschaften durch fachübergreifende Bildungsangebote der Hochschule Bochum.";"www.hochschule-bochum.de";"1";"Überregional";"1";"2015-05-18";"2020-12-01";"56";"Bildung/Hochschulen/Hochschulen";"379872";"5701043";"2023-10-17"
"275889";"Folkwang Universität der Künste Studiengang Schauspiel Bochum";"Friederikastr. 4";"44789 Bochum";"Staatliche Fachhochschulen";"Bildung";"Die Folkwang Universität der Künste ist die zentrale künstlerische Ausbildungsstätte für Musik, Theater, Tanz, Gestaltung und Wissenschaft. (vorm. Westf. Schauspielschule)";"www.folkwang-uni.de";"2";"Regional";"1";"2016-11-22";"2023-09-12";"184527";"Bildung/Hochschulen/Fachhochschulen/Staatliche Fachhochschulen";"376743";"5703701";"2023-10-17"
"275889";"Folkwang Universität der Künste Studiengang Schauspiel Bochum";"Friederikastr. 4";"44789 Bochum";"Kunstschulen";"Bildung";"Die Folkwang Universität der Künste ist die zentrale künstlerische Ausbildungsstätte für Musik, Theater, Tanz, Gestaltung und Wissenschaft. (vorm. Westf. Schauspielschule)";"www.folkwang-uni.de";"2";"Regional";"0";"2016-11-22";"2023-09-12";"343";"Bildung/Spezialschulen/Kunstschulen";"376743";"5703701";"2023-10-17"
"256879";"Institut für das begabte Kind";"Universitätsstr. 142";"44799 Bochum";"Sonstige Spezialschulen";"Bildung";"";"www.hochbegabten-homepage.de/index.html";"2";"Regional";"1";"2017-08-28";"2017-08-28";"203673";"Bildung/Spezialschulen/Sonstige Spezialschulen";"378928";"5700700";"2023-10-17"
"255740";"Universitätsforum (UFO)";"Querenburger Höhe 283";"44801 Bochum";"Hochschulen";"Bildung";"Das Universitätsforum(UFO) ist eine Vereinigung innerhalb der Gesellschaft der Freunde und Förderer der Ruhr-Universität Bochum e.V";"www.rub.de";"2";"Regional";"1";"2015-01-20";"2018-09-17";"56";"Bildung/Hochschulen/Hochschulen";"379031";"5701097";"2023-10-17"
"255683";"Studierenden-Service-Center (SSC)";"Universitätsstr. 150";"44801 Bochum";"Hochschulen";"Bildung";"Hochwertige Beratungs- und Service-Leistungen für Studierende.";"studium.ruhr-uni-bochum.de/de/studierenden-service-center-ssc";"1";"Überregional";"1";"2015-01-12";"2020-12-02";"56";"Bildung/Hochschulen/Hochschulen";"379138";"5700911";"2023-10-17"
"255678";"Folkwang Institut für Populäre Musik der Folkwang Universität der Künste";"Prinz-Regent-Str. 50 - 60";"44795 Bochum";"Hochschulen";"Bildung";"Institut der Folkwang Universität der Künste bietet einem 4-semestrigen Master-Studiengang Populäre Musik an.";"www.folkwang-popinstitut.de";"1";"Überregional";"1";"2015-01-12";"2022-08-05";"56";"Bildung/Hochschulen/Hochschulen";"376137";"5701459";"2023-10-17"
"255668";"Zentrum für klinische Forschung (ZKF)";"Universitätsstr. 150";"44801 Bochum";"Hochschulen";"Bildung";"Medizinisches Proteom Center";"www.ruhr-uni-bochum.de/mpc";"1";"Überregional";"1";"2015-01-07";"2021-11-18";"56";"Bildung/Hochschulen/Hochschulen";"378923";"5700806";"2023-10-17"
"255666";"TestDaF-Institut";"Universitätsstr. 134";"44799 Bochum";"Hochschulen";"Bildung";"Sprachliche, fachliche und propädeutische Vorbereitung auf das Studium in Deutschland";"www.testdaf.de";"1";"Überregional";"1";"2015-01-07";"2018-09-18";"56";"Bildung/Hochschulen/Hochschulen";"378784";"5700749";"2023-10-17"
"255318";"NRW-Sportschule Bochum";"Hollandstr. 95";"44866 Bochum";"Sportschulen";"Bildung";"in Kooperation mit Hellwegschule, Märkische Schule, Pestalozzi Realschule und Maria-Sibylla-Merian Gesamtschule.";"bochum.de";"3";"Örtlich";"1";"2014-12-12";"2023-02-27";"271";"Bildung/Spezialschulen/Sportschulen";"369481";"5705638";"2023-10-17"
"255305";"Aesculap Akademie";"Gesundheitscampus-Süd 11 - 13";"44801 Bochum";"Weiterbildungseinrichtungen";"Bildung";"Partner der Medizinischen Gesellschaften und Verbände";"germany.aesculap-academy.com";"3";"Örtlich";"1";"2014-12-11";"2021-11-16";"254";"Bildung/Weiterbildungseinrichtungen";"378361";"5700752";"2023-10-17"
