"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"611861";"Kindertageseinrichtung Villa Luna Bochum O-Werk";"Suttner-Nobel-Allee 4 a";"44789 Bochum";"Kitas von Vereinen und Elterninitiativen";"Soziales";"";"https://villaluna.de/bochum/kita-bochum/";"3";"Örtlich";"1";"2023-08-17";"";"301160";"Soziales/Kindertagesstätten/Kitas von Vereinen und Elterninitiativen";"379123";"5702951";"2023-10-17"
"611860";"ASB-Kita In der Schornau";"In der Schornau 23 - 25";"44892 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"https://www.asb.de/unsere-angebote/kinder-jugend-familie/kinderbetreuung/kindertageseinrichtungen";"3";"Örtlich";"1";"2023-08-17";"";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"383872";"5702663";"2023-10-17"
"611859";"JuS Kita Am Kuhlenkamp";"Am Kuhlenkamp 29";"44795 Bochum";"Kitas von Vereinen und Elterninitiativen";"Soziales";"";"https://www.jugendundsozialwerk.de/kitas/";"3";"Örtlich";"1";"2023-08-17";"2023-08-17";"301160";"Soziales/Kindertagesstätten/Kitas von Vereinen und Elterninitiativen";"374940";"5700977";"2023-10-17"
"610996";"AWO Kindertageseinrichtung Elisabethstraße";"Elisabethstr. 2";"44866 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten/kita-elisabethstrasse-bochum";"3";"Örtlich";"1";"2023-02-09";"2023-08-17";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"371001";"5704963";"2023-10-17"
"610891";"Martin-Luther-Kinderhaus Familienzentrum";"Lutherstr. 3";"44866 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.kitanetz.de/nordrhein-westfalen/44866/lutherstr-3.php";"3";"Örtlich";"1";"2023-01-18";"2023-02-09";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"371162";"5705110";"2023-10-17"
"608519";"Evang. Kindertagesstätte/Familienzentrum Kornharpen";"Zur Wegschere 2 a";"44791 Bochum";"Ev. Kindertagesstätten";"Soziales";"";"www.familienzentrumkornharpen.de";"3";"Örtlich";"1";"2022-01-28";"2023-01-19";"23584";"Soziales/Kindertagesstätten/Ev. Kindertagesstätten";"379234";"5705579";"2023-10-17"
"606049";"Städtische Kindertageseinrichtung Fischerstr. 15";"Fischerstr. 15";"44805 Bochum";"Kommunale Kindertagesstätten";"Soziales";"";"www.kitaportal-bochum.de";"3";"Örtlich";"1";"2021-07-20";"2022-09-09";"23583";"Soziales/Kindertagesstätten/Kommunale Kindertagesstätten";"381176";"5709259";"2023-10-17"
"606048";"AWO Kindertageseinrichtung Am Nordbad";"Am Nordbad 14";"44805 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten";"3";"Örtlich";"1";"2021-07-20";"2023-01-19";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"379456";"5707256";"2023-10-17"
"513965";"IFAK Kindertageseinrichtung Feldsieper Str.";"Feldsieper Str. 131 a";"44809 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"https://ifak-bochum.de/fachbereich-fruehkindliche-bildung/kindertageseinrichtung-feldsieper-strasse/";"3";"Örtlich";"1";"2021-01-28";"2023-08-31";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"375771";"5706373";"2023-10-17"
"498695";"AWO Kindertageseinrichtung Familienzentrum Wasserstr.";"Wasserstr. 24";"44803 Bochum";"Kindertagesstätten freie Wohlfahrtsverbände";"Soziales";"";"www.awo-ruhr-mitte.de/kinder-jugend-familie/kindertagesstaetten/kita-wasserstrasse-bochum";"3";"Örtlich";"1";"2020-10-02";"2023-08-29";"23595";"Soziales/Kindertagesstätten/Kindertagesstätten freie Wohlfahrtsverbände";"377999";"5703525";"2023-10-17"
