"poi_id";"name";"str_hausnr";"plz_ort";"kategorie";"hauptkateg";"beschreib";"link";"bedeut_id";"bedeutung";"erstkateg";"angelegt";"geaendert";"kateg_id";"kateg_pfad";"rechts_utm";"hoch_utm";"abrufdatum"
"611636";"Bolzplatz Neues Gymnasium Bochum";"Querenburger Str.";"44789 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"";"3";"Örtlich";"1";"2023-05-30";"";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"377241";"5703315";"2024-01-11"
"609631";"Naschgarten Griesenbruchstraße";"Griesenbruchstr.";"44793 Bochum";"Naturerlebnisflächen";"Freizeit Kultur Tourismus";"";"www.ernaehrungsrat-bochum.de/naschgarten-in-der-griesenbruchstrasse/";"3";"Örtlich";"1";"2022-07-22";"";"399688";"Freizeit Kultur Tourismus/Spielplätze/Naturerlebnisflächen";"375495";"5704680";"2024-01-11"
"609626";"Bolzplatz Am Kuhlenkamp";"Am Kuhlenkamp";"44795 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125830C0038F229/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2022-07-21";"2022-09-09";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"374925";"5700807";"2024-01-11"
"609625";"Bolzplatz";"Bußmanns Weg";"44866 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125830C0038F229/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2022-07-21";"2022-09-26";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"370919";"5704358";"2024-01-11"
"609431";"Wildnis für Kinder Ovelackerstraße";"Ovelackerstr.";"44892 Bochum";"Naturerlebnisflächen";"Freizeit Kultur Tourismus";"";"www.wildnis-fuer-kinder.de";"3";"Örtlich";"1";"2022-06-22";"2022-06-22";"399688";"Freizeit Kultur Tourismus/Spielplätze/Naturerlebnisflächen";"383298";"5704109";"2024-01-11"
"609372";"Halde Centrum";"Sommerdellenstr.";"44866 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"Die ehemalige Bergehalde ist also begehbar gemacht und mit Wegen ausgestattet. Noch heute sind markante Böschungen auszumachen.";"www.ruhrgebiet-industriekultur.de/halde-centrum/";"3";"Örtlich";"0";"2022-06-09";"2022-09-09";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"371507";"5705515";"2024-01-11"
"608001";"Kinderspielplatz Am Luftschacht";"Am Luftschacht";"44869 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"www.bochum.de/C125708500379A31/vwContentByKey/W2733FDL146BOLDDE";"3";"Örtlich";"1";"2021-11-23";"2021-11-23";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"372530";"5701575";"2024-01-11"
"607986";"Spielhalle Monkey Island";"Steeler Str. 95";"44866 Bochum";"Indoorspielhallen";"Freizeit Kultur Tourismus";"Indoor-Spielplatz für Kinder";"monkeyislandbochum.de";"3";"Örtlich";"1";"2021-11-23";"2022-09-09";"176968";"Freizeit Kultur Tourismus/Spielplätze/Indoorspielhallen";"369410";"5704188";"2024-01-11"
"607980";"Spielplatz Pausenhof Von-Walthausen-Schule";"Von-Waldthausen-Str.";"44894 Bochum";"Spielplätze allgemein";"Freizeit Kultur Tourismus";"";"";"3";"Örtlich";"1";"2021-11-22";"2021-11-22";"23683";"Freizeit Kultur Tourismus/Spielplätze/Spielplätze allgemein";"382026";"5705106";"2024-01-11"
"607980";"Spielplatz Pausenhof Von-Walthausen-Schule";"Von-Waldthausen-Str.";"44894 Bochum";"Bolzplätze";"Freizeit Kultur Tourismus";"";"";"3";"Örtlich";"0";"2021-11-22";"2021-11-22";"181";"Freizeit Kultur Tourismus/Spielplätze/Bolzplätze";"382026";"5705106";"2024-01-11"
